flat,sequence,file,jd,target_rate,dn_rate,ensemble_rate,diff_flux,check_diff_flux,n_comps,good,reject_reason,minutes_combined,diff_flux_norm,check_diff_flux_norm,v_resid,dn_resid,v_corr_norm,correction_mode
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0025_flat_4s_masked_clipmean_cal.fits,2461181.6936555556,232281.67683410645,340832.9500427246,1455.5541162490845,159.58298921423048,234.16027356031256,8,True,ok,30.918499901890755,1.0064975039628925,1.0165942942375794,0.0064975039628925035,0.01659429423757941,1.002188037840498,global_beta
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0026_flat_4s_masked_clipmean_cal.fits,2461181.6938471063,216102.50497436523,312967.1845703125,1331.9514274597168,162.24503425512563,234.96891712275132,8,True,ok,31.19433291256428,1.023287148663061,1.020104976981275,0.02328714866306103,0.02010497698127489,1.0180659734836963,global_beta
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0027_flat_4s_masked_clipmean_cal.fits,2461181.6940381946,225136.47189331055,333324.43280029297,1419.987533569336,158.54820311513492,234.7375768591684,8,True,ok,31.469500064849857,0.9999710588135476,1.0191006256094133,-2.8941186452358103e-05,0.01910062560941328,0.9950107093222207,global_beta
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0028_flat_4s_masked_clipmean_cal.fits,2461181.6942291665,222371.66482925415,327632.2173156738,1409.246012210846,157.79478026011526,232.4875958326677,8,True,ok,31.744499579072,0.9952191850283794,1.0093324534130552,-0.004780814971620639,0.00933245341305522,0.9927955874202744,global_beta
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0029_flat_4s_masked_clipmean_cal.fits,2461181.694420139,227239.30157852173,329154.74546051025,1402.9053745269775,161.9776399068546,234.62362568216156,8,True,ok,32.0194997638464,1.0216006797891932,1.0186059126736726,0.021600679789193222,0.01860591267367262,1.0167688050980814,global_beta
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0032_flat_4s_masked_clipmean_cal.fits,2461181.6949944445,233673.2453994751,334983.0393791199,1475.3988547325134,158.3797117978918,227.04574990323655,8,True,ok,32.846499904990196,0.9989083760609582,0.9857069705851373,-0.0010916239390418303,-0.014293029414862657,1.002620213706349,global_beta
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0033_flat_4s_masked_clipmean_cal.fits,2461181.695186111,205975.66687393188,312391.1774291992,1306.9354312419891,157.60202221940827,239.02571616130408,8,True,ok,33.122499883174896,0.9940034508965923,1.0377173528670547,-0.0059965491034077445,0.03771735286705469,0.9842084182136789,global_beta
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0037_flat_4s_masked_clipmean_cal.fits,2461181.6959542823,182926.54271698,261536.78602600095,1141.079171180725,160.31012337881674,229.20126195571277,8,True,ok,34.228666350245476,1.0110835737270059,0.9950650107872182,0.011083573727005858,-0.004934989212781793,1.0123651689863393,global_beta
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0038_flat_4s_masked_clipmean_cal.fits,2461181.69614699,239103.0198230743,338024.4324989319,1490.368458032608,160.4321525555548,226.8059490101851,8,True,ok,34.506166353821754,1.0118532175493349,0.984665887843293,0.011853217549334882,-0.015334112156706992,1.0158354198599748,global_beta
flat_4s_masked_clipmean,V0399 named,light_V0399_V_8s_2026_05_20-0042_flat_4s_masked_clipmean_cal.fits,2461181.696914352,221969.0649528503,322052.0025215149,1414.992339372635,156.8694464107592,227.5998205504795,8,True,ok,35.61116673052311,0.9893830604245284,0.988112438643521,-0.010616939575471607,-0.011887561356478948,0.9924702084653061,global_beta
