file,jd,minutes,set,target_flux_rate,bright_comp_ensemble_flux_rate,diff_flux,diff_flux_err,n_bright_comps,good,reject_reason
light_V_8s_2026_05_20-0081_flat_0p3_late_bias_cal.fits,2461181.6875149305,22.07599975168705,generic_V,214302.12406158447,19590.76134967804,10.938938014530322,3.6935616562246185,3,True,ok
light_V_8s_2026_05_20-0082_flat_0p3_late_bias_cal.fits,2461181.687706597,22.35199972987175,generic_V,205812.27138137817,18997.633041381836,10.833574421248425,3.9785059679197756,3,True,ok
light_V_8s_2026_05_20-0083_flat_0p3_late_bias_cal.fits,2461181.6878975695,22.62699991464615,generic_V,245616.07037353516,22491.34312105179,10.920471447685118,3.991140116487499,3,True,ok
light_V0399_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.689061574,24.303166642785072,V0399_named,213236.88902664185,20738.09312438965,10.282376867902975,4.043988660792249,3,True,ok
light_V0399_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.689252662,24.578333124518394,V0399_named,212825.65330696103,18824.733569145203,11.30563960043473,3.834535560295955,3,True,ok
light_V0399_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.68944375,24.853499606251717,V0399_named,207401.8688964844,19266.474197387695,10.764910422717906,4.161002008309676,3,True,ok
light_V0399_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,2461181.6896349536,25.128833055496216,V0399_named,213428.76544189453,19276.7012424469,11.071851078540803,3.627503276362593,3,True,ok
light_V0399_V_8s_2026_05_20-0005_flat_0p3_late_bias_cal.fits,2461181.6898260415,25.403999537229538,V0399_named,194213.26579284668,18023.885787010193,10.775327145759883,3.86036431544958,3,True,ok
light_V0399_V_8s_2026_05_20-0006_flat_0p3_late_bias_cal.fits,2461181.6900171298,25.679166689515114,V0399_named,216074.8966140747,20273.329513549805,10.658086352794676,3.8151874129411434,3,True,ok
light_V0399_V_8s_2026_05_20-0007_flat_0p3_late_bias_cal.fits,2461181.6902081016,25.95416620373726,V0399_named,215558.9920463562,19807.703760147095,10.882583597603007,3.7700868697128374,3,True,ok
light_V0399_V_8s_2026_05_20-0008_flat_0p3_late_bias_cal.fits,2461181.690400463,26.231166645884514,V0399_named,222153.91143798828,20322.26916885376,10.931550487406446,3.8270734746954815,3,True,ok
light_V0399_V_8s_2026_05_20-0009_flat_0p3_late_bias_cal.fits,2461181.690591667,26.506500095129013,V0399_named,197853.26067352295,19323.295392513275,10.239105528044679,3.896533649724399,3,True,ok
light_V0399_V_8s_2026_05_20-0010_flat_0p3_late_bias_cal.fits,2461181.690783102,26.782166808843613,V0399_named,226050.49810028076,20797.46435546875,10.869137421593425,3.8154263556520096,3,True,ok
light_V0399_V_8s_2026_05_20-0011_flat_0p3_late_bias_cal.fits,2461181.690974884,27.058333083987236,V0399_named,191763.0636291504,18463.99160718918,10.385785896614312,4.133909305515951,3,True,ok
light_V0399_V_8s_2026_05_20-0012_flat_0p3_late_bias_cal.fits,2461181.691166551,27.334333062171936,V0399_named,219161.3501586914,20297.040657043457,10.797699717009646,4.117796579241096,3,True,ok
light_V0399_V_8s_2026_05_20-0013_flat_0p3_late_bias_cal.fits,2461181.691357754,27.60966584086418,V0399_named,197522.26099777225,18220.08068847656,10.840910332669209,3.9953545536711896,3,True,ok
light_V0399_V_8s_2026_05_20-0014_flat_0p3_late_bias_cal.fits,2461181.6915494213,27.885666489601135,V0399_named,221708.6342277527,20868.879274845123,10.623887910214483,3.8824837597509445,3,True,ok
light_V0399_V_8s_2026_05_20-0015_flat_0p3_late_bias_cal.fits,2461181.6917408565,28.161333203315735,V0399_named,159362.80712890625,14798.202697753906,10.769065026599113,3.840019505452065,3,True,ok
light_V0399_V_8s_2026_05_20-0016_flat_0p3_late_bias_cal.fits,2461181.691932523,28.437333181500435,V0399_named,221685.6000213623,20450.308181762695,10.840208277108434,4.136419380519307,3,True,ok
light_V0399_V_8s_2026_05_20-0017_flat_0p3_late_bias_cal.fits,2461181.692123727,28.712666630744934,V0399_named,223261.77835083008,20785.770016670227,10.74108768507367,3.920074811305274,3,True,ok
light_V0399_V_8s_2026_05_20-0018_flat_0p3_late_bias_cal.fits,2461181.6923153936,28.988666608929634,V0399_named,232005.79425048828,21684.482986450195,10.69916190279749,4.12887323018981,3,True,ok
light_V0399_V_8s_2026_05_20-0019_flat_0p3_late_bias_cal.fits,2461181.6925069443,29.264499619603157,V0399_named,223778.26028060913,21093.96069097519,10.60864119161605,4.174545817164859,3,True,ok
light_V0399_V_8s_2026_05_20-0020_flat_0p3_late_bias_cal.fits,2461181.692698148,29.539833068847656,V0399_named,234296.61059570312,20946.199166297913,11.185638441397163,3.741597408235041,3,True,ok
light_V0399_V_8s_2026_05_20-0021_flat_0p3_late_bias_cal.fits,2461181.6928898147,29.815833047032356,V0399_named,228764.4548339844,20796.9450674057,10.99990667343343,4.1880910934134645,3,True,ok
light_V0399_V_8s_2026_05_20-0022_flat_0p3_late_bias_cal.fits,2461181.6930810185,30.091166496276855,V0399_named,220096.73046875,20852.77276468277,10.55479446078826,4.2062572127616145,3,True,ok
light_V0399_V_8s_2026_05_20-0023_flat_0p3_late_bias_cal.fits,2461181.693271991,30.366166681051254,V0399_named,213253.86248779297,19590.054718017574,10.885822707358589,3.903451781883055,3,True,ok
light_V0399_V_8s_2026_05_20-0024_flat_0p3_late_bias_cal.fits,2461181.6934636575,30.642166659235954,V0399_named,200717.47729492188,19391.365349769592,10.35086873329973,4.073002205490871,3,True,ok
light_V0399_V_8s_2026_05_20-0025_flat_0p3_late_bias_cal.fits,2461181.6936555556,30.918499901890755,V0399_named,232114.9378585815,21057.30973434448,11.023010098958746,3.549348490923227,3,True,ok
light_V0399_V_8s_2026_05_20-0026_flat_0p3_late_bias_cal.fits,2461181.6938471063,31.194332912564278,V0399_named,215924.53985214233,20079.91584777832,10.753259201334384,4.143639596945469,3,True,ok
light_V0399_V_8s_2026_05_20-0027_flat_0p3_late_bias_cal.fits,2461181.6940381946,31.469500064849854,V0399_named,224973.28406524655,20850.010278701782,10.790080247349136,3.585286783561568,3,True,ok
light_V0399_V_8s_2026_05_20-0028_flat_0p3_late_bias_cal.fits,2461181.6942291665,31.744499579072,V0399_named,222195.4062194824,20846.23300552368,10.658779749828502,3.9862944232876485,3,True,ok
light_V0399_V_8s_2026_05_20-0029_flat_0p3_late_bias_cal.fits,2461181.694420139,32.0194997638464,V0399_named,227051.23852348328,20892.941415309902,10.867365873007472,3.6724099540045434,3,True,ok
