object_id,file,jd,norm_flux,minutes
90,light_AMCVn_V_40s_2026_05_20-0040_flat_4s_masked_clipmean_cal.fits,2461181.7680917825,1.0067980440404054,58.00483323633671
90,light_AMCVn_V_40s_2026_05_20-0041_flat_4s_masked_clipmean_cal.fits,2461181.7686533565,1.0054857347742407,58.81349980831146
90,light_AMCVn_V_40s_2026_05_20-0042_flat_4s_masked_clipmean_cal.fits,2461181.769216551,0.9991027544490294,59.62449990212917
90,light_AMCVn_V_40s_2026_05_20-0043_flat_4s_masked_clipmean_cal.fits,2461181.769778588,0.9962833085079685,60.43383300304413
90,light_AMCVn_V_40s_2026_05_20-0044_flat_4s_masked_clipmean_cal.fits,2461181.7703421297,0.9882441186289918,61.24533332884312
90,light_AMCVn_V_40s_2026_05_20-0045_flat_4s_masked_clipmean_cal.fits,2461181.770904398,0.9908336776548532,62.05499969422817
90,light_AMCVn_V_40s_2026_05_20-0046_flat_4s_masked_clipmean_cal.fits,2461181.7714658566,1.0069713738994253,62.863499969244
90,light_AMCVn_V_40s_2026_05_20-0047_flat_4s_masked_clipmean_cal.fits,2461181.772028241,1.007291934613939,63.673333302140236
90,light_AMCVn_V_40s_2026_05_20-0048_flat_4s_masked_clipmean_cal.fits,2461181.7725899303,1.000907651794586,64.48216617107391
90,light_AMCVn_V_40s_2026_05_20-0049_flat_4s_masked_clipmean_cal.fits,2461181.7731516203,1.0085019912947986,65.29099971055984
90,light_AMCVn_V_40s_2026_05_20-0050_flat_4s_masked_clipmean_cal.fits,2461181.7737135417,0.9896765083606173,66.10016651451588
90,light_AMCVn_V_40s_2026_05_20-0051_flat_4s_masked_clipmean_cal.fits,2461181.77427581,0.9998648156930767,66.90983287990093
90,light_AMCVn_V_40s_2026_05_20-0052_flat_4s_masked_clipmean_cal.fits,2461181.7748372685,0.9845924253687428,67.71833315491676
90,light_AMCVn_V_40s_2026_05_20-0053_flat_4s_masked_clipmean_cal.fits,2461181.7753997687,0.9929119519457933,68.52833345532417
90,light_AMCVn_V_40s_2026_05_20-0054_flat_4s_masked_clipmean_cal.fits,2461181.7759625,1.0019638421251884,69.33866634964943
90,light_AMCVn_V_40s_2026_05_20-0055_flat_4s_masked_clipmean_cal.fits,2461181.7765243053,1.005208653385113,70.14766618609428
90,light_AMCVn_V_40s_2026_05_20-0056_flat_4s_masked_clipmean_cal.fits,2461181.777086458,0.9985560884451051,70.95716625452042
90,light_AMCVn_V_40s_2026_05_20-0057_flat_4s_masked_clipmean_cal.fits,2461181.777648727,0.9919805264606151,71.76683329045773
90,light_AMCVn_V_40s_2026_05_20-0058_flat_4s_masked_clipmean_cal.fits,2461181.778210417,0.9976758359900584,72.57566682994366
90,light_AMCVn_V_40s_2026_05_20-0059_flat_4s_masked_clipmean_cal.fits,2461181.7787725693,1.0050691332872372,73.38516622781754
90,light_AMCVn_V_40s_2026_05_20-0061_flat_4s_masked_clipmean_cal.fits,2461181.779895023,0.9886583631677412,75.00149957835674
90,light_AMCVn_V_40s_2026_05_20-0062_flat_4s_masked_clipmean_cal.fits,2461181.7804569444,1.0056874188934364,75.81066638231277
90,light_AMCVn_V_40s_2026_05_20-0063_flat_4s_masked_clipmean_cal.fits,2461181.781018403,1.0093468610038385,76.6191666573286
90,light_AMCVn_V_35s_2026_05_20-0001_flat_4s_masked_clipmean_cal.fits,2461181.7833690974,1.0009749463649964,80.00416673719883
90,light_AMCVn_V_35s_2026_05_20-0002_flat_4s_masked_clipmean_cal.fits,2461181.7838724535,1.0024043311916575,80.72899952530861
90,light_AMCVn_V_35s_2026_05_20-0003_flat_4s_masked_clipmean_cal.fits,2461181.784376273,1.0133957108851497,81.45449951291084
90,light_AMCVn_V_35s_2026_05_20-0004_flat_4s_masked_clipmean_cal.fits,2461181.7848802083,0.9975818244206306,82.18016646802425
90,light_AMCVn_V_35s_2026_05_20-0005_flat_4s_masked_clipmean_cal.fits,2461181.785383102,1.0001591571664792,82.90433339774609
90,light_AMCVn_V_35s_2026_05_20-0006_flat_4s_masked_clipmean_cal.fits,2461181.785886574,0.9925842758056097,83.62933315336704
