file,jd,exptime,diff_flux,diff_flux_err,target_flux_rate,comparison_ensemble_flux_rate,n_comparisons,registered,frame_artifact,good,reject_reason,minutes,diff_flux_norm
light_AMCVn_V_45s_2026_05_20-0025_flat_4s_masked_clipmean_cal.fits,2461181.7426853008,45.0,1.0078586615475769,0.008853698195941086,433.7788065592448,0.950140342646606,6,True,False,True,ok,21.419499590992928,1.0022386441024178
light_AMCVn_V_45s_2026_05_20-0026_flat_4s_masked_clipmean_cal.fits,2461181.743304051,45.0,1.0203074854604697,0.008693948547017922,448.3278299967448,0.970026697198022,6,True,False,True,ok,22.310499921441078,1.014618050933103
light_AMCVn_V_45s_2026_05_20-0027_flat_4s_masked_clipmean_cal.fits,2461181.7439229167,45.0,1.0364687002918718,0.008367746256814173,480.9275906032986,1.0243362988837026,5,True,False,True,ok,23.201666548848152,1.030689147662878
light_AMCVn_V_45s_2026_05_20-0028_flat_4s_masked_clipmean_cal.fits,2461181.7445425927,45.0,1.0096195196081117,0.008314963496624257,473.02009955512153,1.0342866476578054,5,True,False,True,ok,24.093999937176704,1.0039896832732649
light_AMCVn_V_45s_2026_05_20-0029_flat_4s_masked_clipmean_cal.fits,2461181.745163426,45.0,1.0006340064383161,0.008401105103840466,458.2277825249566,1.0109396265900792,5,True,False,True,ok,24.98799964785576,0.9950542750861366
light_AMCVn_V_40s_2026_05_20-0001_flat_4s_masked_clipmean_cal.fits,2461181.746172338,40.0,1.0026700739674643,0.008909028339303285,462.8890571594238,1.0191495626185858,6,True,False,True,ok,26.440832912921906,0.9970789891036568
light_AMCVn_V_40s_2026_05_20-0002_flat_4s_masked_clipmean_cal.fits,2461181.746734722,40.0,0.99765692966929,0.008769452345329503,458.02547721862794,1.0135086831146758,6,True,False,True,ok,27.250666245818138,0.9920937990807055
light_AMCVn_V_40s_2026_05_20-0003_flat_4s_masked_clipmean_cal.fits,2461181.7472962965,40.0,1.0121880736767521,0.009159673750612857,450.800057220459,0.983199860094775,6,True,False,True,ok,28.059333488345146,1.0065439145809614
light_AMCVn_V_40s_2026_05_20-0004_flat_4s_masked_clipmean_cal.fits,2461181.747858681,40.0,1.0090096214050046,0.009171442059842326,444.06095428466796,0.9715526525671387,6,True,False,True,ok,28.86916682124138,1.0033831859820832
light_AMCVn_V_40s_2026_05_20-0005_flat_4s_masked_clipmean_cal.fits,2461181.7484207177,40.0,1.0130714048665588,0.008955250858014201,463.4918571472168,1.0099993935429068,6,True,False,True,ok,29.678499922156334,1.0074223201429138
light_AMCVn_V_40s_2026_05_20-0006_flat_4s_masked_clipmean_cal.fits,2461181.7489822917,40.0,1.0112064408929666,0.008916735323156426,469.00880279541013,1.0239063308382346,6,True,False,True,ok,30.48716649413109,1.0055677555739861
light_AMCVn_V_40s_2026_05_20-0007_flat_4s_masked_clipmean_cal.fits,2461181.749544213,40.0,1.0078046011008341,0.008844095912468649,472.811287689209,1.035691854884718,6,True,False,True,ok,31.29633329808712,1.0021848851073225
light_AMCVn_V_40s_2026_05_20-0008_flat_4s_masked_clipmean_cal.fits,2461181.7501061345,40.0,0.9970604034724896,0.009114530360261046,442.26207733154297,0.979213277436592,6,True,False,True,ok,32.10550010204315,0.9915005992309024
light_AMCVn_V_40s_2026_05_20-0009_flat_4s_masked_clipmean_cal.fits,2461181.7506672456,40.0,0.9869289617152238,0.008674411608556221,462.20617828369143,1.0338770956230467,6,True,False,True,ok,32.913500145077705,0.9814256523787188
light_AMCVn_V_40s_2026_05_20-0010_flat_4s_masked_clipmean_cal.fits,2461181.751229051,40.0,0.9848835303890591,0.008719225239298868,463.7431980133057,1.039469471614496,6,True,False,True,ok,33.72249998152256,0.9793916267785496
light_AMCVn_V_40s_2026_05_20-0011_flat_4s_masked_clipmean_cal.fits,2461181.751791088,40.0,0.9913285939525543,0.008577973862143054,471.19648971557615,1.0493091855537506,5,True,False,True,ok,34.531833082437515,0.9858007514043309
light_AMCVn_V_40s_2026_05_20-0012_flat_4s_masked_clipmean_cal.fits,2461181.7523532407,40.0,0.9916037923175534,0.008514628623228345,474.63056640625,1.0566632078711287,6,True,False,True,ok,35.34133315086365,0.9860744152093055
light_AMCVn_V_40s_2026_05_20-0013_flat_4s_masked_clipmean_cal.fits,2461181.752915162,40.0,0.9777463273745757,0.008904718692110535,439.7126049041748,0.9928000342587828,6,True,False,True,ok,36.15049995481968,0.972294222207024
light_AMCVn_V_40s_2026_05_20-0014_flat_4s_masked_clipmean_cal.fits,2461181.7534769676,40.0,1.005075318365086,0.00891036613374071,466.2334045410156,1.024056314287991,6,True,False,True,ok,36.959499791264534,0.9994708213870701
light_AMCVn_V_40s_2026_05_20-0015_flat_4s_masked_clipmean_cal.fits,2461181.754038889,40.0,0.9972831950584645,0.009002604918041569,442.10876235961916,0.9786551435163047,6,True,False,True,ok,37.768666595220566,0.991722148487325
light_AMCVn_V_40s_2026_05_20-0016_flat_4s_masked_clipmean_cal.fits,2461181.7546011573,40.0,1.0124144635558017,0.009066048065088435,453.78263626098635,0.9894835859290676,6,True,False,True,ok,38.57833296060562,1.0067690420656712
light_AMCVn_V_40s_2026_05_20-0017_flat_4s_masked_clipmean_cal.fits,2461181.75516331,40.0,1.0189739255424535,0.009043292977737682,467.67892532348634,1.0132200855955755,6,True,False,True,ok,39.38783302903175,1.0132919272065783
light_AMCVn_V_40s_2026_05_20-0018_flat_4s_masked_clipmean_cal.fits,2461181.755726273,40.0,1.022817149521758,0.009277259305644998,455.70861740112304,0.9835768566445322,6,True,False,True,ok,40.198499858379364,1.0171137206156715
