iteration,single_sine_free_period_min,single_sine_free_period_s,single_sine_free_chi2,double_wave_free_period_min,double_wave_free_period_s,double_wave_free_chi2
32,8.735336194563661,524.1201716738196,133.84105526600456,17.53281423804227,1051.9688542825363,109.2257774392344
33,9.84692417739628,590.8154506437768,159.76888771708445,19.54393770856507,1172.6362625139043,143.91116968968845
34,8.805436337625178,528.3261802575107,115.24181055748411,17.78197997775306,1066.9187986651837,107.02564756753479
35,12.0,720.0,118.1727652037765,17.808676307007786,1068.5205784204672,111.19055817230878
36,8.645207439198856,518.7124463519314,146.587134361812,17.4349276974416,1046.0956618464961,127.28060303529026
37,8.685264663805437,521.1158798283262,143.34912337975499,17.408231368186875,1044.4938820912125,125.16239401575183
38,8.735336194563661,524.1201716738196,107.07100022394076,17.479421579532815,1048.765294771969,99.17025024785974
39,8.835479256080115,530.1287553648069,115.16239585315608,17.710789766407117,1062.647385984427,88.8427203532704
40,9.786838340486408,587.2103004291845,123.13408545954644,17.639599555061178,1058.3759733036707,113.88159479174529
41,8.454935622317596,507.29613733905575,144.67068782320155,17.239154616240267,1034.349276974416,104.18189608698539
42,8.86552217453505,531.931330472103,103.60814610275213,17.764182424916573,1065.8509454949944,92.95915718604381
43,8.685264663805437,521.1158798283262,116.21751816863372,19.268075639599555,1156.0845383759734,113.86556076301835
44,8.615164520743921,516.9098712446353,149.07112988076437,17.586206896551722,1055.1724137931033,108.61634682771503
45,8.755364806866954,525.3218884120172,193.19999964207665,17.612903225806452,1056.774193548387,159.9149980910335
46,8.675250357653791,520.5150214592275,154.44676573408583,17.42602892102336,1045.5617352614015,129.25058251484958
47,8.84549356223176,530.7296137339056,157.41927074931567,17.773081201334815,1066.3848720800888,134.5864321654472
48,8.675250357653791,520.5150214592275,155.2479481608834,17.586206896551722,1055.1724137931033,122.5896033811037
49,8.815450643776824,528.9270386266095,133.60633950189384,17.52391546162403,1051.4349276974417,117.70167007771926
50,8.815450643776824,528.9270386266095,157.3193615365411,17.737486095661847,1064.2491657397109,130.0563641540693
51,8.785407725321889,527.1244635193134,106.29599459806397,17.612903225806452,1056.774193548387,99.04287129681528
52,8.88555078683834,533.1330472103004,150.07120939832242,17.82647385984427,1069.5884315906562,127.90717638221815
53,8.595135908440628,515.7081545064377,166.29752694886434,17.194660734149053,1031.6796440489431,116.8850519904461
54,8.725321888412017,523.519313304721,92.1124288450538,17.381535038932146,1042.8921023359287,89.4312173761577
55,8.815450643776824,528.9270386266095,117.92561473960194,17.692992213570633,1061.579532814238,105.70734242983173
56,5.901287553648069,354.0772532188841,126.99378891066206,17.42602892102336,1045.5617352614015,109.84906175164627
57,8.665236051502145,519.9141630901287,175.5182009590964,17.24805339265851,1034.8832035595105,150.37067094803626
58,8.745350500715308,524.7210300429184,104.3208931541745,17.42602892102336,1045.5617352614015,98.10684781425115
59,8.725321888412017,523.519313304721,159.72537447625066,17.461624026696327,1047.6974416017797,138.49836396750834
60,8.905579399141631,534.3347639484979,146.22996246896253,17.835372636262512,1070.1223581757508,131.22935158462928
61,8.535050071530758,512.1030042918455,179.55542164112603,17.061179087875416,1023.670745272525,146.47096467355215
