sequence,file,jd,diff_flux,target_flux_rate,comparison_ensemble_flux_rate,n_comps,good,reject_reason,check_diff_flux,minutes_combined,diff_flux_norm,check_diff_flux_norm,target_x,target_y,raw_target_rate,raw_target_rate_err,n_sources,comp_x_med,comp_y_med,comp_match_dist_med,comp_match_dist_max,n_sep_sources,resid_const,minutes_centered,target_x_rel,target_y_rel,comp_x_med_rel,comp_y_med_rel,radius_rel,raw_target_norm,ensemble_norm,seq_named,target_x_rel_named_interaction,target_y_rel_named_interaction,minutes_centered_named_interaction
V0399 named,light_V0399_V_8s_2026_05_20-0014_flat_0p3_late_bias_cal.fits,2461181.6915494213,128.19133782980796,221708.6342277527,1729.5133819580078,4,True,ok,190.7249453217722,27.885666489601135,0.9826939430086532,1.008734666357112,1928.0375702794815,633.2277578927191,221708.6342277527,555.1248789180901,30,1069.5340601619073,1101.014744245245,2.177457304433694,5.063200976272593,30,-0.01577452431651727,0.06016128125154992,-21.322515079784807,-6.836142187164114,-21.471756956724676,-7.1310712427609815,22.391571836983115,0.9536785469501532,0.9693590036407611,1.0,-21.322515079784807,-6.836142187164114,0.06016128125154992
V0399 named,light_V0399_V_8s_2026_05_20-0015_flat_0p3_late_bias_cal.fits,2461181.6917408565,131.79629902642418,159362.80712890625,1209.1599559783936,4,True,ok,187.2488874250115,28.161333203315735,1.010328989125414,0.9903499705491712,1928.8669260789552,632.5022732649987,159362.80712890625,826.4315555812278,19,1070.6238154467403,1100.4895828930798,0.4658325656662239,1.078283945460487,19,0.01186052180024344,0.07752226784208718,-20.493159280311147,-7.561626814884448,-20.382001671891658,-7.656232594926223,21.84371253646647,0.685498293153837,0.6777109112868261,1.0,-20.493159280311147,-7.561626814884448,0.07752226784208718
V0399 named,light_V0399_V_8s_2026_05_20-0016_flat_0p3_late_bias_cal.fits,2461181.691932523,128.60104470685638,221685.6000213623,1723.824254512787,4,True,ok,185.25483352892343,28.437333181500435,0.9858346892813772,0.9798035195425924,1928.919656047659,631.1781802484929,221685.6000213623,554.8120927971675,29,1070.196824535195,1099.320487294705,3.7535845537858865,8.269271807223928,29,-0.012633778043793287,0.09490424282080724,-20.44042931160743,-8.885719831390247,-20.808992583436975,-8.825328193301175,22.288274212347222,0.9535794654301346,0.9661703570714926,1.0,-20.44042931160743,-8.885719831390247,0.09490424282080724
V0399 named,light_V0399_V_8s_2026_05_20-0017_flat_0p3_late_bias_cal.fits,2461181.692123727,128.7590991062638,223261.77835083008,1733.9495220184326,4,True,ok,188.2869228611779,28.712666630744938,0.9870463085966366,0.9958400878885764,1929.80193975652,633.2828369683298,223261.77835083008,549.1983824615295,28,1071.3041967676097,1101.347166867204,2.0340435768204457,4.568317441546346,28,-0.011422158728533915,0.11224424102316194,-19.558145602746436,-6.781063111553408,-19.701620351022257,-6.798648620802169,20.700335174607684,0.9603593883872036,0.9718453748673983,1.0,-19.558145602746436,-6.781063111553408,0.11224424102316194
V0399 named,light_V0399_V_8s_2026_05_20-0018_flat_0p3_late_bias_cal.fits,2461181.6923153936,131.1625042139926,232005.79425048828,1768.8423657417295,4,True,ok,190.4174705564319,28.98866660892963,1.0054704211922691,1.0071084477504926,1930.2276795150583,634.5990360075258,232005.79425048828,532.0753213319317,29,1071.885328916777,1102.6843401188069,2.0184694883609553,4.938112702103409,29,0.007001953867098676,0.12962621600188157,-19.13240584420805,-5.464864072357386,-19.12048820185487,-5.461475369199206,19.897580071878814,0.9979717276934337,0.9914021430188626,1.0,-19.13240584420805,-5.464864072357386,0.12962621600188157
V0399 named,light_V0399_V_8s_2026_05_20-0019_flat_0p3_late_bias_cal.fits,2461181.6925069443,129.3336341737793,223778.26028060913,1730.240255832672,4,True,ok,188.24132475103264,29.264499619603157,0.9914506009649956,0.9955989217718616,1930.927503675967,634.7619213512645,223778.26028060913,576.4211791794208,27,1071.999328484178,1102.857444862725,1.403539005633227,3.664863370714553,27,-0.007017866360174874,0.1469976756714318,-18.432581683299304,-5.301978728618678,-19.006488634453945,-5.288370625281004,19.1799647014854,0.962581032745049,0.9697664024745991,1.0,-18.432581683299304,-5.301978728618678,0.1469976756714318
V0399 named,light_V0399_V_8s_2026_05_20-0020_flat_0p3_late_bias_cal.fits,2461181.692698148,131.06268939152775,234296.61059570312,1787.6682653427124,4,True,ok,186.50492873018692,29.539833068847656,1.0047052570000603,0.9864152103396912,1931.6458480274557,634.4177149927939,234296.61059570312,508.3148484989737,28,1073.0888858305434,1102.3440674830872,2.6955754621814183,5.95105647436091,28,0.006236789674889831,0.16433767387378628,-17.714237331810637,-5.646185087089293,-17.916931288088563,-5.801748004918863,18.592299757840156,1.0078256623904012,1.0019536978493837,1.0,-17.714237331810637,-5.646185087089293,0.16433767387378628
V0399 named,light_V0399_V_8s_2026_05_20-0021_flat_0p3_late_bias_cal.fits,2461181.6928898147,130.8195741458423,228764.4548339844,1748.7020297050476,4,True,ok,186.44223196834815,29.815833047032356,1.0028415750740216,0.9860836103120788,1934.0445934882348,635.5189592918846,228764.4548339844,550.9586810635324,27,1075.7188436067288,1103.3996384276722,1.7677078332125975,4.430936400466913,27,0.004373107748851135,0.18171964885250633,-15.315491871031554,-4.544940787998598,-15.28697351190317,-4.746177060333821,15.975630754935684,0.984029122906431,0.9801138718339323,1.0,-15.315491871031554,-4.544940787998598,0.18171964885250633
V0399 named,light_V0399_V_8s_2026_05_20-0022_flat_0p3_late_bias_cal.fits,2461181.6930810185,129.2445047890222,220096.73046875,1702.9484605789185,4,True,ok,189.7843012207706,30.091166496276855,0.990767349600062,1.0037596469028722,1933.1997140474505,635.3570925409663,220096.73046875,571.9759078003144,27,1074.4423592978812,1103.4031082584938,1.316523546275714,3.1228061641838663,27,-0.007701117725108508,0.19905964705486082,-16.16037131181588,-4.706807538916905,-16.563457820750727,-4.742707229512234,16.831863775119103,0.9467449512421483,0.9544698758731135,1.0,-16.16037131181588,-4.706807538916905,0.19905964705486082
V0399 named,light_V0399_V_8s_2026_05_20-0023_flat_0p3_late_bias_cal.fits,2461181.693271991,132.39612849632968,213253.86248779297,1610.7258188724518,4,True,ok,189.2005860745996,30.366166681051254,1.014927184267872,1.0006724067821473,1934.4025391596635,636.323445722175,213253.86248779297,624.498124392512,26,1076.1875669888998,1104.35536446387,1.6723101385301309,4.105912106426274,26,0.016458716942701512,0.2163786568690325,-14.957546199602803,-3.7404543577081313,-14.818250129732178,-3.7904510241360185,15.418144736489861,0.9173103899054571,0.9027808580197263,1.0,-14.957546199602803,-3.7404543577081313,0.2163786568690325
V0399 named,light_V0399_V_8s_2026_05_20-0024_flat_0p3_late_bias_cal.fits,2461181.6934636575,127.56355987738748,200717.47729492188,1573.470335006714,4,True,ok,191.34205387791135,30.64216665923595,0.9778814993455952,1.0119985225476746,1934.0068503200864,635.3182672826825,200717.47729492188,613.9556377232877,25,1075.768827479036,1103.420462004398,1.6590113282468086,4.035225913770876,25,-0.020586967979575266,0.23376063184775234,-15.353235039179935,-4.745632797200642,-15.236989639596004,-4.72535348360816,16.069936428442052,0.863385193638797,0.8818998754861533,1.0,-15.353235039179935,-4.745632797200642,0.23376063184775234
V0399 named,light_V0399_V_8s_2026_05_20-0025_flat_0p3_late_bias_cal.fits,2461181.6936555556,128.43566494613333,232114.9378585815,1807.2467484474184,4,True,ok,188.56181830717108,30.918499901890755,0.9845669149378836,0.9972939961098068,1935.8732000410423,635.8641914855987,232114.9378585815,528.8325143956937,26,1077.2454759886657,1103.9844889678288,2.549356290286738,5.785100524953508,26,-0.013901552387286853,0.2511635952146554,-13.48688531822404,-4.199708594284516,-13.760341129966264,-4.1613265201772265,14.12563725514125,0.9984412083608772,1.0129270612666066,1.0,-13.48688531822404,-4.199708594284516,0.2511635952146554
V0399 named,light_V0399_V_8s_2026_05_20-0026_flat_0p3_late_bias_cal.fits,2461181.6938471063,131.39018069043615,215924.53985214233,1643.3841457366943,4,True,ok,190.4182315727816,31.19433291256428,1.0072157520247134,1.0071124727277825,1935.9244470348804,636.2045517355597,215924.53985214233,578.0717792270668,25,1077.649996746621,1104.0795911220744,1.814329381463797,4.335313060055145,25,0.00874728469954289,0.26853505488420565,-13.435638324385991,-3.8593483443235073,-13.355820372011067,-4.066224365931703,13.978946556394806,0.9287982948175814,0.9210852224264685,1.0,-13.435638324385991,-3.8593483443235073,0.26853505488420565
V0399 named,light_V0399_V_8s_2026_05_20-0027_flat_0p3_late_bias_cal.fits,2461181.6940381946,128.1767046316413,224973.28406524655,1755.1807460784912,4,True,ok,189.87984513093764,31.469500064849857,0.9825817672918796,1.0042649738499174,1937.2787986754445,635.8591686320643,224973.28406524655,545.077881965885,29,1078.855521828762,1103.6280454197986,1.6540987845665551,3.81197498620023,29,-0.015886700033290846,0.2858645800075474,-12.081286683821872,-4.204731447818858,-12.150295289869973,-4.517770068207483,12.792077801708704,0.9677214213928504,0.9837450678189685,1.0,-12.081286683821872,-4.204731447818858,0.2858645800075474
V0399 named,light_V0399_V_8s_2026_05_20-0028_flat_0p3_late_bias_cal.fits,2461181.6942291665,130.84356779176943,222195.4062194824,1698.175997257233,4,True,ok,192.92038068724497,31.744499579072,1.0030255064606697,1.0203462138511352,1936.9218034895143,636.2120608119387,222195.4062194824,562.3741953486538,24,1078.4235628710487,1104.0616540609017,1.9707112499584327,4.468358248248855,24,0.004557039135499208,0.3031835475915615,-12.438281869752018,-3.851839267944456,-12.58225424758325,-4.084161427104391,13.021041495114,0.9557723941626707,0.9517950019237811,1.0,-12.438281869752018,-3.851839267944456,0.3031835475915615
V0399 named,light_V0399_V_8s_2026_05_20-0029_flat_0p3_late_bias_cal.fits,2461181.694420139,130.56939289922414,227051.23852348328,1738.9315633773804,4,True,ok,189.22061816450787,32.0194997638464,1.000923726334254,1.0007783555005805,1938.4830478984777,637.8195173250559,227051.23852348328,557.5607952290476,27,1080.1593669883289,1105.653497629413,1.7704857963321436,4.321574444614513,27,0.00245525900908361,0.32050255740573325,-10.877037460788642,-2.2443827548272566,-10.846450130303083,-2.492317858592969,11.106178364926679,0.9766597317805463,0.9746377132778355,1.0,-10.877037460788642,-2.2443827548272566,0.32050255740573325
V0399 named,light_V0399_V_8s_2026_05_20-0030_flat_0p3_late_bias_cal.fits,2461181.6946113426,129.42894469320015,241749.15566825867,1867.813696861267,4,True,ok,,32.2948332130909,0.9921812359027808,,1938.0225814191424,637.2684319256508,241749.15566825867,492.38106871002,27,1079.599020129177,1105.2222972623613,1.7939414575486536,4.347588994648904,27,-0.0062872314223896275,0.33784255560808774,-11.337503940123952,-2.795468154232367,-11.40679698945496,-2.9235182256447843,11.677056041385322,1.0398827465929688,1.0468736715562257,1.0,-11.337503940123952,-2.795468154232367,0.33784255560808774
V0399 named,light_V0399_V_8s_2026_05_20-0031_flat_0p3_late_bias_cal.fits,2461181.6948032407,130.62628769174196,238632.84550857544,1826.8363108634949,4,True,ok,,32.5711664557457,1.00135987255866,,1939.75334724078,638.2659032281854,238632.84550857544,487.1957295202173,29,1081.5957854032988,1106.2375927847231,1.5425098305643354,3.677410777923384,29,0.00289140523348963,0.35524551897499057,-9.606738118486419,-1.7979968516978033,-9.410031715333162,-1.908222703282945,9.773546436984642,1.0264779545095006,1.0239066344248715,1.0,-9.606738118486419,-1.7979968516978033,0.35524551897499057
V0399 named,light_V0399_V_8s_2026_05_20-0032_flat_0p3_late_bias_cal.fits,2461181.6949944445,130.91614969886524,233578.3048057556,1784.182511806488,4,True,ok,187.69777166987868,32.846499904990196,1.0035819075536183,0.9927240967979172,1940.5360680954236,637.4055619111557,233578.3048057556,523.4965688860727,30,1082.2296751852502,1105.432988822639,1.7968799960422044,4.016009244007201,30,0.005113440228447841,0.37258551717734506,-8.824017263842734,-2.6583381687274823,-8.776141933381723,-2.7128266653671744,9.215749697767839,1.004735873738691,1.0,1.0,-8.824017263842734,-2.6583381687274823,0.37258551717734506
V0399 named,light_V0399_V_8s_2026_05_20-0033_flat_0p3_late_bias_cal.fits,2461181.695186111,124.00960437197364,205907.8310699463,1660.4184176921844,4,True,ok,188.11221302121547,33.122499883174896,0.9506374545605324,0.9949160563109216,1940.998652073333,636.9046684589154,205907.8310699463,617.7407021631566,27,1082.61336889972,1105.022661341191,1.856398845591684,4.307367703114661,27,-0.04783101276463808,0.3899674921560651,-8.361433285933344,-3.15923162096783,-8.392448218912023,-3.123154146815068,8.938361764330034,0.885711473639411,0.9306326044026784,1.0,-8.361433285933344,-3.15923162096783,0.3899674921560651
