file,jd,minutes,diff_flux,diff_flux_err,target_flux_rate,comparison_ensemble_flux_rate,n_comps,n_sources,good,reject_reason
light_V0399_V_8s_2026_05_20-0053_flat_0p3_late_bias_cal.fits,2461181.6990222223,14.343333318829536,142.61807675775967,2031.8544181608615,229403.2650527954,1608.5146446228027,11,27,True,ok
light_V0399_V_8s_2026_05_20-0054_flat_0p3_late_bias_cal.fits,2461181.699213773,14.61916632950306,148.39217223259158,2104.3339623246757,239345.4339542389,1612.9249296188354,11,29,True,ok
light_V0399_V_8s_2026_05_20-0055_flat_0p3_late_bias_cal.fits,2461181.699405208,14.894833043217659,141.9895555601745,2032.1744420735906,242748.7881679535,1709.624255180359,11,30,True,ok
light_V0399_V_8s_2026_05_20-0056_flat_0p3_late_bias_cal.fits,2461181.699596991,15.170999988913536,146.54085397893067,2125.5309469292242,245069.3776512146,1672.3621501922607,11,30,True,ok
light_V0399_V_8s_2026_05_20-0057_flat_0p3_late_bias_cal.fits,2461181.699788773,15.44716626405716,146.3302771186052,2094.191432448434,252993.58805847168,1728.9216766357422,11,31,True,ok
light_V0399_V_8s_2026_05_20-0058_flat_0p3_late_bias_cal.fits,2461181.6999804396,15.72316624224186,150.01484729821902,2153.814381457875,222733.07095336914,1484.740177154541,11,27,True,ok
light_V0399_V_8s_2026_05_20-0059_flat_0p3_late_bias_cal.fits,2461181.7001721063,15.99916622042656,144.92328056911296,2055.3878085607976,240993.7637939453,1662.9057998657227,11,29,True,ok
light_V0399_V_8s_2026_05_20-0060_flat_0p3_late_bias_cal.fits,2461181.7003641203,16.275666430592537,149.10085878921305,2159.6266357436466,216444.2181892395,1451.663122177124,11,30,True,ok
light_V0399_V_8s_2026_05_20-0061_flat_0p3_late_bias_cal.fits,2461181.70055544,16.551166847348213,141.38404979267193,2011.0671161988932,244067.78340148926,1726.2752323150635,11,29,True,ok
light_V0399_V_8s_2026_05_20-0062_flat_0p3_late_bias_cal.fits,2461181.700747222,16.827333122491837,144.4905587297984,2134.257616850422,233304.4708480835,1614.6693105697632,11,30,True,ok
light_V0399_V_8s_2026_05_20-0063_flat_0p3_late_bias_cal.fits,2461181.70093831,17.10249960422516,144.05767163587993,2080.9837073329973,232477.3215637207,1613.7795295715332,11,32,True,ok
light_V0399_V_8s_2026_05_20-0064_flat_0p3_late_bias_cal.fits,2461181.7011302086,17.378833517432213,141.46036009036806,1969.9124895664072,236397.12132263184,1671.11918258667,11,31,True,ok
light_V0399_V_8s_2026_05_20-0065_flat_0p3_late_bias_cal.fits,2461181.7013217593,17.654666528105736,143.80027074684625,2114.9079029927543,233315.5585899353,1622.4973526000977,11,33,True,ok
light_V0399_V_8s_2026_05_20-0066_flat_0p3_late_bias_cal.fits,2461181.701513542,17.930833473801613,146.4425552367012,2168.029479972822,238203.39588165283,1626.5995597839355,11,32,True,ok
light_V0399_V_8s_2026_05_20-0067_flat_0p3_late_bias_cal.fits,2461181.70170544,18.207166716456413,145.66800829764637,2101.1409134691708,260994.58959960938,1791.708369255066,11,30,True,ok
light_V0399_V_8s_2026_05_20-0068_flat_0p3_late_bias_cal.fits,2461181.7018971066,18.483166694641113,142.07813789274257,2053.5485435688156,239436.9409713745,1685.2483043670654,11,32,True,ok
light_V0399_V_8s_2026_05_20-0069_flat_0p3_late_bias_cal.fits,2461181.7020890047,18.759499937295914,144.7128682833522,2078.744736347634,205170.08976745605,1417.7736382484436,11,27,True,ok
light_V0399_V_8s_2026_05_20-0070_flat_0p3_late_bias_cal.fits,2461181.702280787,19.035666212439537,151.97293011314375,2146.9192865825503,207100.23192977905,1362.744218826294,11,28,True,ok
light_V0399_V_8s_2026_05_20-0071_flat_0p3_late_bias_cal.fits,2461181.7024725694,19.311833158135414,147.6772178488174,2115.666212059615,238952.70917892456,1618.074288368225,11,31,True,ok
light_V0399_V_8s_2026_05_20-0072_flat_0p3_late_bias_cal.fits,2461181.7026641206,19.58766683936119,145.17738552968223,2063.0665951456076,245099.63958740234,1688.276990890503,11,30,True,ok
light_V0399_V_8s_2026_05_20-0073_flat_0p3_late_bias_cal.fits,2461181.7028560187,19.86400008201599,146.89547997750282,2104.0249813443966,242907.13757514954,1653.605254650116,11,32,True,ok
light_V0399_V_8s_2026_05_20-0074_flat_0p3_late_bias_cal.fits,2461181.7030475694,20.139833092689514,149.19095216414985,2174.29975164072,190775.7830810547,1278.7356090545654,11,25,True,ok
light_V0399_V_8s_2026_05_20-0075_flat_0p3_late_bias_cal.fits,2461181.7032395834,20.41633330285549,145.3196451497736,2132.1179436192147,254214.48093605042,1749.3469700813293,11,30,True,ok
light_V0399_V_8s_2026_05_20-0076_flat_0p3_late_bias_cal.fits,2461181.703431134,20.692166313529015,148.18095015999543,2210.0487642476014,221191.1690196991,1492.7098846435547,11,29,True,ok
