file,jd,minutes,object_id,role,x,y,pred_x,pred_y,match_dist,flux,flux_err,flux_rate,flux_rate_err,flag,n_sources
light_V0399_V_8s_2026_05_20-0092_flat_0p3_late_bias_cal.fits,2461181.706498958,25.10983295738697,target,target,1967.7212777661016,649.5643567669067,1967.7212777661016,649.5643567669067,0.0,1823374.46484375,4395.856427906342,227921.80810546875,549.4820534882928,ok,31
light_V0399_V_8s_2026_05_20-0092_flat_0p3_late_bias_cal.fits,2461181.706498958,25.10983295738697,DN_UMa,check,1892.983550413128,704.1744718855967,1892.983550413128,704.1744718855967,0.0,2577010.016204834,8208.008015129391,322126.25202560425,1026.001001891174,ok,31
light_V0399_V_8s_2026_05_20-0092_flat_0p3_late_bias_cal.fits,2461181.706498958,25.10983295738697,gaia_774272862760870784_src1,comparison,638.654685486062,275.47887045106535,635.6595984819924,273.7661388650079,3.450216753745447,27462.447341918945,181.66383385145664,3432.805917739868,22.70797923143208,ok,31
light_V0399_V_8s_2026_05_20-0092_flat_0p3_late_bias_cal.fits,2461181.706498958,25.10983295738697,gaia_774271076054448768_src2,comparison,1545.37666556241,338.48892182576765,1544.7935004958867,337.52528961987684,1.1263518646688342,18623.234687805176,148.51619469634642,2327.904335975647,18.564524337043302,ok,31
light_V0399_V_8s_2026_05_20-0092_flat_0p3_late_bias_cal.fits,2461181.706498958,25.10983295738697,gaia_774384016513181696_src3,comparison,429.72300855131203,1272.5642648094013,425.8015287048099,1272.3262038581124,3.92869917441521,12345.140392303467,129.598728867698,1543.1425490379333,16.19984110846225,ok,31
light_V0399_V_8s_2026_05_20-0092_flat_0p3_late_bias_cal.fits,2461181.706498958,25.10983295738697,gaia_774289041901756032_src4,comparison,2081.022767749536,1459.59957208345,2080.17518005435,1461.2866228996286,1.8880003594805503,11054.14225769043,116.04210490526917,1381.7677822113037,14.505263113158646,ok,31
light_V0399_V_8s_2026_05_20-0092_flat_0p3_late_bias_cal.fits,2461181.706498958,25.10983295738697,gaia_774287774887292672_src5,comparison,2072.956209498156,1097.9872299983645,2072.734065887557,1098.860364031858,0.9009499565317667,10709.011306762695,113.47242351508591,1338.626413345337,14.184052939385738,ok,31
light_V0399_V_8s_2026_05_20-0092_flat_0p3_late_bias_cal.fits,2461181.706498958,25.10983295738697,gaia_774289488578357504_src6,comparison,979.6710069995531,1117.7657599393694,977.1351173687864,1118.1941532318629,2.5718197900482163,9580.698760986328,106.9462136683008,1197.587345123291,13.3682767085376,ok,31
light_V0399_V_8s_2026_05_20-0092_flat_0p3_late_bias_cal.fits,2461181.706498958,25.10983295738697,gaia_774288805679445888_src7,comparison,1984.321885251822,1368.8607504512959,1983.2087674237366,1370.4314247433936,1.9251101347866617,8617.676750183105,103.69908796568184,1077.2095937728882,12.96238599571023,ok,31
light_V0399_V_8s_2026_05_20-0092_flat_0p3_late_bias_cal.fits,2461181.706498958,25.10983295738697,gaia_774290626745586944_src8,comparison,1109.5469649784047,1450.7008801172124,1108.0909590677238,1452.5010760057899,2.3153095795571406,3103.457130432129,68.77063939201715,387.9321413040161,8.596329924002143,ok,31
