raw_file,reduced_file,flat,exptime,jd,max_adu_raw,max_adu_cal
light_V0399_V_8s_2026_05_20-0067.fit,light_V0399_V_8s_2026_05_20-0067_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.70170544,65535.0,64583.75573786425
light_V0399_V_8s_2026_05_20-0068.fit,light_V0399_V_8s_2026_05_20-0068_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.7018971066,63764.0,63255.00233815076
light_V0399_V_8s_2026_05_20-0069.fit,light_V0399_V_8s_2026_05_20-0069_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.7020890047,50585.0,50077.46011984453
light_V0399_V_8s_2026_05_20-0070.fit,light_V0399_V_8s_2026_05_20-0070_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.702280787,47722.0,46909.142350399816
light_V0399_V_8s_2026_05_20-0071.fit,light_V0399_V_8s_2026_05_20-0071_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.7024725694,62407.0,61498.086300072006
light_V0399_V_8s_2026_05_20-0072.fit,light_V0399_V_8s_2026_05_20-0072_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.7026641206,62450.0,61369.059856320644
light_V0399_V_8s_2026_05_20-0073.fit,light_V0399_V_8s_2026_05_20-0073_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.7028560187,64861.0,63757.52765695326
light_V0399_V_8s_2026_05_20-0074.fit,light_V0399_V_8s_2026_05_20-0074_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.7030475694,43606.0,42850.6817015369
light_V0399_V_8s_2026_05_20-0075.fit,light_V0399_V_8s_2026_05_20-0075_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.7032395834,65446.0,64563.33745675861
light_V0399_V_8s_2026_05_20-0076.fit,light_V0399_V_8s_2026_05_20-0076_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.703431134,51015.0,50216.481449267565
light_V0399_V_8s_2026_05_20-0077.fit,light_V0399_V_8s_2026_05_20-0077_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.703622338,65138.0,64943.22701799657
light_V0399_V_8s_2026_05_20-0078.fit,light_V0399_V_8s_2026_05_20-0078_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.703814236,57095.0,56861.997132085526
light_V0399_V_8s_2026_05_20-0079.fit,light_V0399_V_8s_2026_05_20-0079_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.7040060186,65535.0,65340.29835638477
light_V0399_V_8s_2026_05_20-0080.fit,light_V0399_V_8s_2026_05_20-0080_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.7041976852,65483.0,64596.781733442534
light_V0399_V_8s_2026_05_20-0081.fit,light_V0399_V_8s_2026_05_20-0081_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.704389352,61857.0,61208.92293619298
light_V0399_V_8s_2026_05_20-0082.fit,light_V0399_V_8s_2026_05_20-0082_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.704580671,65535.0,64924.23420178584
light_V0399_V_8s_2026_05_20-0083.fit,light_V0399_V_8s_2026_05_20-0083_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.704772338,59218.0,58418.62839186655
light_V0399_V_8s_2026_05_20-0084.fit,light_V0399_V_8s_2026_05_20-0084_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.704964236,52954.0,52089.30116941722
light_V0399_V_8s_2026_05_20-0085.fit,light_V0399_V_8s_2026_05_20-0085_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.7051554397,65368.0,64269.37152971805
light_V0399_V_8s_2026_05_20-0086.fit,light_V0399_V_8s_2026_05_20-0086_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.705346875,56187.0,55300.00660269258
light_V0399_V_8s_2026_05_20-0087.fit,light_V0399_V_8s_2026_05_20-0087_flat_0p3_late_bias_cal.fits,flat_0p3_late_bias,8.0,2461181.705539352,51763.0,50762.45898066496
