raw_file,reduced_file,flat,exptime,jd,max_adu_raw,max_adu_cal
light_V_8s_2026_05_20-0027.fit,light_V_8s_2026_05_20-0027_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.6771674766,45919.0,45205.89512454085
light_V_8s_2026_05_20-0028.fit,light_V_8s_2026_05_20-0028_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.677359375,37729.0,36994.67545900578
light_V_8s_2026_05_20-0029.fit,light_V_8s_2026_05_20-0029_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.677550463,56727.0,55681.77265493437
light_V_8s_2026_05_20-0030.fit,light_V_8s_2026_05_20-0030_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.677741667,42362.0,41455.309504177894
light_V_8s_2026_05_20-0031.fit,light_V_8s_2026_05_20-0031_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.6779328706,46284.0,45460.55275171961
light_V_8s_2026_05_20-0032.fit,light_V_8s_2026_05_20-0032_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.6781244213,33102.0,32484.96709495121
light_V_8s_2026_05_20-0033.fit,light_V_8s_2026_05_20-0033_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.678316204,52870.0,52041.18420601216
light_V_8s_2026_05_20-0034.fit,light_V_8s_2026_05_20-0034_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.6785078705,48556.0,47756.056875631475
light_V_8s_2026_05_20-0035.fit,light_V_8s_2026_05_20-0035_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.678699537,52646.0,51820.86734390195
light_V_8s_2026_05_20-0036.fit,light_V_8s_2026_05_20-0036_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.6788909724,49941.0,48797.758531075
light_V_8s_2026_05_20-0037.fit,light_V_8s_2026_05_20-0037_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.67908206,51446.0,50463.75081502614
light_V_8s_2026_05_20-0038.fit,light_V_8s_2026_05_20-0038_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.6792738424,41249.0,40284.609454328594
light_V_8s_2026_05_20-0039.fit,light_V_8s_2026_05_20-0039_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.6794653935,59296.0,58256.320943570354
light_V_8s_2026_05_20-0040.fit,light_V_8s_2026_05_20-0040_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.679657176,50729.0,49757.97204751526
light_V_8s_2026_05_20-0041.fit,light_V_8s_2026_05_20-0041_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.679848843,46536.0,45957.64484929738
light_V_8s_2026_05_20-0042.fit,light_V_8s_2026_05_20-0042_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.6800405094,43318.0,42330.18096959404
light_V_8s_2026_05_20-0043.fit,light_V_8s_2026_05_20-0043_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.6802317128,44718.0,44035.91887753151
light_V_8s_2026_05_20-0044.fit,light_V_8s_2026_05_20-0044_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.6804236113,54803.0,54052.773477474126
light_V_8s_2026_05_20-0045.fit,light_V_8s_2026_05_20-0045_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.680614699,35643.0,34966.87856632797
light_V_8s_2026_05_20-0046.fit,light_V_8s_2026_05_20-0046_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.6808056715,48022.0,47331.75182769847
light_V_8s_2026_05_20-0047.fit,light_V_8s_2026_05_20-0047_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.6809974536,51677.0,50851.91112803281
light_V_8s_2026_05_20-0048.fit,light_V_8s_2026_05_20-0048_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.6811891203,28370.0,27745.37911530692
light_V_8s_2026_05_20-0049.fit,light_V_8s_2026_05_20-0049_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.68138044,53137.0,52067.904988920156
light_V_8s_2026_05_20-0050.fit,light_V_8s_2026_05_20-0050_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.6815721067,56212.0,55269.640681199
light_V_8s_2026_05_20-0051.fit,light_V_8s_2026_05_20-0051_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.6817636574,52687.0,51828.41291706374
light_V_8s_2026_05_20-0052.fit,light_V_8s_2026_05_20-0052_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.681955324,48606.0,47590.53264780581
light_V_8s_2026_05_20-0053.fit,light_V_8s_2026_05_20-0053_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.682147222,50910.0,50226.7331733226
light_V_8s_2026_05_20-0054.fit,light_V_8s_2026_05_20-0054_flat_0p3_early_bias_cal.fits,flat_0p3_early_bias,8.0,2461181.6823388888,52616.0,51702.0652389159
