file,jd,minutes,diff_flux,diff_flux_err,target_flux_rate,comparison_ensemble_flux_rate,n_comps,good,reject_reason
light_V_8s_2026_05_20-0012_flat_0p3_late_bias_cal.fits,2461181.674292361,3.0354995280504227,27605.80152861455,28063.243687449933,174590.44567871094,6.324411392211914,6,True,ok
light_V_8s_2026_05_20-0013_flat_0p3_late_bias_cal.fits,2461181.6744832178,3.310333415865898,43842.04750647888,33829.80407704382,187004.49365615845,4.265414237976074,5,True,ok
light_V_8s_2026_05_20-0014_flat_0p3_late_bias_cal.fits,2461181.674675,3.5864996910095215,26203.55653809969,20279.094604446258,156422.44482421875,5.969511985778809,4,True,ok
light_V_8s_2026_05_20-0015_flat_0p3_late_bias_cal.fits,2461181.6748667825,3.8626666367053986,30086.586312281248,25948.565663989913,170918.1307373047,5.680874824523926,5,True,ok
light_V_8s_2026_05_20-0016_flat_0p3_late_bias_cal.fits,2461181.675058449,4.138666614890099,42228.49686956212,61522.38738228701,185470.78840637207,4.39207649230957,3,True,ok
light_V_8s_2026_05_20-0017_flat_0p3_late_bias_cal.fits,2461181.6752502313,4.414832890033722,91418.82061293292,20777.439383766054,209430.39459228516,2.290889263153076,4,True,ok
light_V_8s_2026_05_20-0018_flat_0p3_late_bias_cal.fits,2461181.67544213,4.691166803240776,20721.096512010816,11457.341028750188,127894.95864868164,6.172209978103638,6,True,ok
light_V_8s_2026_05_20-0019_flat_0p3_late_bias_cal.fits,2461181.6756346063,4.968332871794701,30340.06018844666,77.92968208888344,219931.70593070984,7.248888254165649,2,True,ok
light_V_8s_2026_05_20-0020_flat_0p3_late_bias_cal.fits,2461181.6758256946,5.2435000240802765,57465.16213777713,18669.341966117998,196556.83554077148,3.420452117919922,4,True,ok
light_V_8s_2026_05_20-0021_flat_0p3_late_bias_cal.fits,2461181.676017361,5.5195000022649765,28440.83347278419,18559.125438860643,203771.92554092407,7.164766311645508,3,True,ok
light_V_8s_2026_05_20-0022_flat_0p3_late_bias_cal.fits,2461181.676209028,5.7954999804496765,31992.37769922048,93.39344546663571,208552.97262573242,6.518833160400391,2,True,ok
light_V_8s_2026_05_20-0023_flat_0p3_late_bias_cal.fits,2461181.6764001157,6.070666462182999,88949.3513553529,70354.3039005182,220583.2804965973,2.479875087738037,4,True,ok
light_V_8s_2026_05_20-0024_flat_0p3_late_bias_cal.fits,2461181.6765917824,6.346666440367699,16026.36811926793,9462.945483261563,158948.5138130188,9.917937278747559,4,True,ok
light_V_8s_2026_05_20-0025_flat_0p3_late_bias_cal.fits,2461181.676783449,6.622666418552399,66477.74815461285,25510.91546000302,221125.41875839233,3.3263072967529297,4,True,ok
light_V_8s_2026_05_20-0026_flat_0p3_late_bias_cal.fits,2461181.676976158,6.900167092680931,52456.77899542554,35676.359775015066,227065.96070480347,4.328629493713379,5,True,ok
light_V_8s_2026_05_20-0027_flat_0p3_late_bias_cal.fits,2461181.6771674766,7.1756661683321,57981.493074925726,19752.202801955227,197368.7423171997,3.4039955139160156,5,True,ok
light_V_8s_2026_05_20-0028_flat_0p3_late_bias_cal.fits,2461181.677359375,7.452000081539154,136725.8735228063,105328.27444856772,172898.94860839844,1.264566421508789,3,True,ok
