file,jd,object_id,role,x,y,flux,flux_err,flux_rate,flux_rate_err,flag,dx,dy
light_V_8s_2026_05_20-0045_flat_0p3_late_bias_cal.fits,2461181.680614699,gaia_774289488578357504_src6,comparison,823.1472338426776,963.0477139612615,-11.781204223632812,43.08408846780705,-1.4726505279541016,5.385511058475881,nonpositive_flux,18.07439348134335,-86.47525004889934
light_V_8s_2026_05_20-0045_flat_0p3_late_bias_cal.fits,2461181.680614699,gaia_774290626745586944_src8,comparison,908.0707531512887,1310.1188579384605,23.028194427490234,42.35911278739907,2.8785243034362793,5.294889098424884,ok,18.07439348134335,-86.47525004889934
light_V_8s_2026_05_20-0046_flat_0p3_late_bias_cal.fits,2461181.6808056715,target_V0399_direct,target,1861.7111378801492,623.4293240615004,1685064.765625,4729.703876704891,210633.095703125,591.2129845881113,ok,18.807079005838204,-86.44937275653552
light_V_8s_2026_05_20-0046_flat_0p3_late_bias_cal.fits,2461181.6808056715,DN_UMa_direct,check,1787.0103373047198,677.8425508863282,2387456.677520752,8529.3400486368,298432.084690094,1066.1675060796,ok,18.807079005838204,-86.44937275653552
light_V_8s_2026_05_20-0046_flat_0p3_late_bias_cal.fits,2461181.6808056715,gaia_774287774887292672_src5,comparison,1910.4507078321446,1086.7853672754454,-85.1999282836914,43.47208029541061,-10.649991035461426,5.434010036926327,nonpositive_flux,18.807079005838204,-86.44937275653552
light_V_8s_2026_05_20-0046_flat_0p3_late_bias_cal.fits,2461181.6808056715,gaia_774288805679445888_src7,comparison,1786.8023291381342,1343.6001179253456,-40.64399337768555,44.455725246124054,-5.080499172210693,5.556965655765507,nonpositive_flux,18.807079005838204,-86.44937275653552
light_V_8s_2026_05_20-0046_flat_0p3_late_bias_cal.fits,2461181.6808056715,gaia_774289041901756032_src4,comparison,1870.9515529806963,1446.2034361354538,-41.225364685058594,41.68174135514447,-5.153170585632324,5.210217669393058,nonpositive_flux,18.807079005838204,-86.44937275653552
light_V_8s_2026_05_20-0046_flat_0p3_late_bias_cal.fits,2461181.6808056715,gaia_774271076054448768_src2,comparison,1487.3152482862797,264.69044100653684,-80.27745819091797,45.30772029801498,-10.034682273864746,5.663465037251872,nonpositive_flux,18.807079005838204,-86.44937275653552
light_V_8s_2026_05_20-0046_flat_0p3_late_bias_cal.fits,2461181.6808056715,gaia_774272862760870784_src1,comparison,596.5683792043511,83.11450387078858,63.830360412597656,45.608599270040024,7.978795051574707,5.701074908755003,ok,18.807079005838204,-86.44937275653552
light_V_8s_2026_05_20-0046_flat_0p3_late_bias_cal.fits,2461181.6808056715,gaia_774384016513181696_src3,comparison,258.18768863071597,1044.098424594881,-32.66448974609375,43.43458385751049,-4.083061218261719,5.429322982188811,nonpositive_flux,18.807079005838204,-86.44937275653552
light_V_8s_2026_05_20-0046_flat_0p3_late_bias_cal.fits,2461181.6808056715,gaia_774289488578357504_src6,comparison,823.8799193671724,963.0735912536254,-99.57452392578125,42.9478460109564,-12.446815490722656,5.36848075136955,nonpositive_flux,18.807079005838204,-86.44937275653552
light_V_8s_2026_05_20-0046_flat_0p3_late_bias_cal.fits,2461181.6808056715,gaia_774290626745586944_src8,comparison,908.8034386757836,1310.1447352308244,81.15959167480469,41.217976046030664,10.144948959350586,5.152247005753833,ok,18.807079005838204,-86.44937275653552
light_V_8s_2026_05_20-0047_flat_0p3_late_bias_cal.fits,2461181.6809974536,target_V0399_direct,target,1863.354853976259,622.7080495107846,1727601.8349609375,4638.8381843780435,215950.2293701172,579.8547730472554,ok,20.394099281915942,-87.14398094201903
light_V_8s_2026_05_20-0047_flat_0p3_late_bias_cal.fits,2461181.6809974536,DN_UMa_direct,check,1788.5406617607655,677.1746090660771,2487700.605621338,8122.421196930641,310962.57570266724,1015.3026496163301,ok,20.394099281915942,-87.14398094201903
light_V_8s_2026_05_20-0047_flat_0p3_late_bias_cal.fits,2461181.6809974536,gaia_774287774887292672_src5,comparison,1912.0377281082224,1086.090759089962,-21.092727661132812,40.90629540725186,-2.6365909576416016,5.113286925906483,nonpositive_flux,20.394099281915942,-87.14398094201903
light_V_8s_2026_05_20-0047_flat_0p3_late_bias_cal.fits,2461181.6809974536,gaia_774288805679445888_src7,comparison,1788.389349414212,1342.905509739862,-0.3193092346191406,42.60555227277462,-0.03991365432739258,5.325694034096827,nonpositive_flux,20.394099281915942,-87.14398094201903
light_V_8s_2026_05_20-0047_flat_0p3_late_bias_cal.fits,2461181.6809974536,gaia_774289041901756032_src4,comparison,1872.538573256774,1445.5088279499703,-7.398796081542969,44.904549161302896,-0.9248495101928711,5.613068645162862,nonpositive_flux,20.394099281915942,-87.14398094201903
light_V_8s_2026_05_20-0047_flat_0p3_late_bias_cal.fits,2461181.6809974536,gaia_774271076054448768_src2,comparison,1488.9022685623574,263.99583282105334,-11.020732879638672,43.10984936148747,-1.377591609954834,5.388731170185934,nonpositive_flux,20.394099281915942,-87.14398094201903
light_V_8s_2026_05_20-0047_flat_0p3_late_bias_cal.fits,2461181.6809974536,gaia_774272862760870784_src1,comparison,598.1553994804289,82.41989568530508,84.18659210205078,41.68853967740249,10.523324012756348,5.211067459675311,ok,20.394099281915942,-87.14398094201903
light_V_8s_2026_05_20-0047_flat_0p3_late_bias_cal.fits,2461181.6809974536,gaia_774384016513181696_src3,comparison,259.7747089067937,1043.4038164093975,-6.800605773925781,43.7274481195475,-0.8500757217407227,5.465931014943438,nonpositive_flux,20.394099281915942,-87.14398094201903
light_V_8s_2026_05_20-0047_flat_0p3_late_bias_cal.fits,2461181.6809974536,gaia_774289488578357504_src6,comparison,825.4669396432502,962.3789830681419,48.304664611816406,41.34477761568897,6.038083076477051,5.168097201961121,ok,20.394099281915942,-87.14398094201903
light_V_8s_2026_05_20-0047_flat_0p3_late_bias_cal.fits,2461181.6809974536,gaia_774290626745586944_src8,comparison,910.3904589518613,1309.4501270453409,1.757659912109375,42.38709534482256,0.21970748901367188,5.29838691810282,ok,20.394099281915942,-87.14398094201903
light_V_8s_2026_05_20-0048_flat_0p3_late_bias_cal.fits,2461181.6811891203,target_V0399_direct,target,1862.9140281749349,623.3984824692023,1148561.6564331055,7085.595698449296,143570.20705413818,885.699462306162,ok,19.975842122236145,-86.48441351051503
light_V_8s_2026_05_20-0048_flat_0p3_late_bias_cal.fits,2461181.6811891203,DN_UMa_direct,check,1788.14497324273,677.8033109706673,1647572.4715576172,11240.917200398053,205946.55894470215,1405.1146500497566,ok,19.975842122236145,-86.48441351051503
light_V_8s_2026_05_20-0048_flat_0p3_late_bias_cal.fits,2461181.6811891203,gaia_774287774887292672_src5,comparison,1911.6194709485426,1086.750326521466,-24.455490112304688,43.76680048329744,-3.056936264038086,5.47085006041218,nonpositive_flux,19.975842122236145,-86.48441351051503
light_V_8s_2026_05_20-0048_flat_0p3_late_bias_cal.fits,2461181.6811891203,gaia_774288805679445888_src7,comparison,1787.971092254532,1343.565077171366,24.869060516357422,40.54320775789918,3.1086325645446777,5.067900969737398,ok,19.975842122236145,-86.48441351051503
light_V_8s_2026_05_20-0048_flat_0p3_late_bias_cal.fits,2461181.6811891203,gaia_774289041901756032_src4,comparison,1872.1203160970942,1446.1683953814743,14.240577697753906,46.51451371573691,1.7800722122192383,5.814314214467114,ok,19.975842122236145,-86.48441351051503
light_V_8s_2026_05_20-0048_flat_0p3_late_bias_cal.fits,2461181.6811891203,gaia_774271076054448768_src2,comparison,1488.4840114026777,264.65540025255734,25.7076416015625,44.47322678164305,3.2134552001953125,5.559153347705381,ok,19.975842122236145,-86.48441351051503
light_V_8s_2026_05_20-0048_flat_0p3_late_bias_cal.fits,2461181.6811891203,gaia_774272862760870784_src1,comparison,597.7371423207491,83.07946311680908,98.21459197998047,41.69067610711874,12.276823997497559,5.2113345133898425,ok,19.975842122236145,-86.48441351051503
light_V_8s_2026_05_20-0048_flat_0p3_late_bias_cal.fits,2461181.6811891203,gaia_774384016513181696_src3,comparison,259.3564517471139,1044.0633838409015,-79.53671264648438,45.71854215175443,-9.942089080810547,5.714817768969303,nonpositive_flux,19.975842122236145,-86.48441351051503
light_V_8s_2026_05_20-0048_flat_0p3_late_bias_cal.fits,2461181.6811891203,gaia_774289488578357504_src6,comparison,825.0486824835704,963.0385504996459,-13.458236694335938,40.97411138107043,-1.6822795867919922,5.121763922633804,nonpositive_flux,19.975842122236145,-86.48441351051503
