file,jd,minutes,diff_flux,diff_flux_err,target_flux_rate,comparison_ensemble_flux_rate,n_comps,n_sources,good,reject_reason,sequence,minutes_combined,diff_flux_norm
light_V_8s_2026_05_20-0075_flat_0p3_late_bias_cal.fits,2461181.686365625,20.42099967598915,160.27829430599786,94.34287329367544,226286.4430541992,1411.8346095085144,8,29,True,ok,V_8 generic,20.42099967598915,1.0151783971883925
light_V_8s_2026_05_20-0076_flat_0p3_late_bias_cal.fits,2461181.686557176,20.696833357214928,152.97151000585575,91.71238836450104,180922.75484848025,1182.7218992710114,8,26,True,ok,V_8 generic,20.696833357214928,0.9688983340860364
light_V_8s_2026_05_20-0077_flat_0p3_late_bias_cal.fits,2461181.6867488427,20.972833335399628,159.72669206789166,98.22267463220716,228740.64950561523,1432.0752940177915,8,28,True,ok,V_8 generic,20.972833335399628,1.0116846323065607
light_V_8s_2026_05_20-0078_flat_0p3_late_bias_cal.fits,2461181.6869399305,21.24799981713295,161.9320478158779,96.9743425471956,246467.4213256836,1522.042268037796,8,29,True,ok,V_8 generic,21.24799981713295,1.0256530209967758
light_V_8s_2026_05_20-0079_flat_0p3_late_bias_cal.fits,2461181.6871314817,21.523833498358727,159.8008124183802,94.60204524386133,216928.78143310547,1357.4948596954346,8,27,True,ok,V_8 generic,21.523833498358727,1.0121540993603113
light_V_8s_2026_05_20-0080_flat_0p3_late_bias_cal.fits,2461181.687323264,21.79999977350235,159.396377473459,97.39133001336072,233840.31356048584,1467.0365617275238,8,31,True,ok,V_8 generic,21.79999977350235,1.0095924697838934
light_V_8s_2026_05_20-0081_flat_0p3_late_bias_cal.fits,2461181.6875149305,22.07599975168705,159.57150637309647,94.38350315497668,214302.12406158447,1342.9849033355713,8,27,True,ok,V_8 generic,22.07599975168705,1.0107017096619761
light_V_8s_2026_05_20-0082_flat_0p3_late_bias_cal.fits,2461181.687706597,22.35199972987175,159.33302049812602,95.59653952391284,205812.27138137817,1291.7113523483276,8,27,True,ok,V_8 generic,22.35199972987175,1.0091911763152563
light_V_8s_2026_05_20-0083_flat_0p3_late_bias_cal.fits,2461181.6878975695,22.62699991464615,157.7666538216342,91.77310896778704,245616.07037353516,1556.8313355445862,8,30,True,ok,V_8 generic,22.62699991464615,0.9992700474503933
light_V0399_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.689061574,0.0,140.5334267801443,2056.676771977141,213236.88902664185,1517.339282989502,11,27,True,ok,V0399 named,24.303166642785072,0.9644738361481695
light_V0399_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.689252662,0.2751664817333221,149.42153334719225,2173.342173526592,212825.65330696103,1424.3305401802063,11,25,True,ok,V0399 named,24.578333124518394,1.0254724642555262
light_V0399_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.68944375,0.5503329634666443,144.594739223925,2105.7796376361525,207401.8688964844,1434.3666305541992,11,27,True,ok,V0399 named,24.853499606251717,0.9923464190787586
light_V0399_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,2461181.6896349536,0.8256664127111435,148.36806111048654,2092.946896165205,213428.76544189453,1438.5088262557983,11,26,True,ok,V0399 named,25.128833055496216,1.0182425373072517
light_V0399_V_8s_2026_05_20-0005_flat_0p3_late_bias_cal.fits,2461181.6898260415,1.1008328944444656,144.9209892938914,2080.6830395285547,194213.26579284668,1340.1320729255676,11,24,True,ok,V0399 named,25.403999537229538,0.994585456891566
light_V0399_V_8s_2026_05_20-0006_flat_0p3_late_bias_cal.fits,2461181.6900171298,1.3760000467300415,146.57960484015547,2135.0014381972633,216074.8966140747,1474.1129698753357,11,28,True,ok,V0399 named,25.679166689515114,1.0059684519216587
light_V0399_V_8s_2026_05_20-0007_flat_0p3_late_bias_cal.fits,2461181.6902081016,1.6509995609521866,145.51317930388612,2110.612153569268,215558.9920463562,1481.3709182739258,11,30,True,ok,V0399 named,25.95416620373726,0.9986496271303075
light_V0399_V_8s_2026_05_20-0008_flat_0p3_late_bias_cal.fits,2461181.690400463,1.9280000030994415,148.43686330751797,2191.005195299385,222153.91143798828,1496.6222438812256,11,29,True,ok,V0399 named,26.231166645884514,1.018714723323253
light_V0399_V_8s_2026_05_20-0009_flat_0p3_late_bias_cal.fits,2461181.690591667,2.2033334523439407,138.0109189988479,1890.2947759733763,197853.26067352295,1433.605848789215,11,26,True,ok,V0399 named,26.506500095129013,0.9471619921813483
light_V0399_V_8s_2026_05_20-0010_flat_0p3_late_bias_cal.fits,2461181.690783102,2.4790001660585403,148.33610960223973,2148.811961219411,226050.49810028076,1523.9074201583862,11,29,True,ok,V0399 named,26.782166808843613,1.0180232557139994
light_V0399_V_8s_2026_05_20-0011_flat_0p3_late_bias_cal.fits,2461181.690974884,2.7551664412021637,142.84165765981496,2146.522147041657,191763.0636291504,1342.4869661331177,11,27,True,ok,V0399 named,27.058333083987236,0.9803151085218548
light_V0399_V_8s_2026_05_20-0012_flat_0p3_late_bias_cal.fits,2461181.691166551,3.0311664193868637,144.27469601279068,2006.5709438730576,219161.3501586914,1519.0560522079468,11,29,True,ok,V0399 named,27.334333062171936,0.9901499786257782
light_V0399_V_8s_2026_05_20-0013_flat_0p3_late_bias_cal.fits,2461181.691357754,3.306499868631363,144.2027695843848,1999.231728891271,197522.26099777225,1369.7535877227783,11,24,True,ok,V0399 named,27.60966584086418,0.98965635116707
light_V0399_V_8s_2026_05_20-0014_flat_0p3_late_bias_cal.fits,2461181.6915494213,3.582499846816063,140.56974771414062,1959.057020012057,221708.6342277527,1577.214427947998,11,30,True,ok,V0399 named,27.885666489601135,0.9647231048904646
light_V0399_V_8s_2026_05_20-0015_flat_0p3_late_bias_cal.fits,2461181.6917408565,3.8581665605306625,144.4791339485166,2098.086974422102,159362.80712890625,1103.016074180603,11,19,True,ok,V0399 named,28.161333203315735,0.9915530258910544
light_V0399_V_8s_2026_05_20-0016_flat_0p3_late_bias_cal.fits,2461181.691932523,4.1341665387153625,143.65492175216687,2019.3405854714656,221685.6000213623,1543.181377410889,11,29,True,ok,V0399 named,28.437333181500435,0.9858964990630483
light_V0399_V_8s_2026_05_20-0017_flat_0p3_late_bias_cal.fits,2461181.692123727,4.409499987959862,144.37346003752967,2107.8121948577004,223261.77835083008,1546.4184226989746,11,28,True,ok,V0399 named,28.712666630744934,0.9908277911576142
light_V0399_V_8s_2026_05_20-0018_flat_0p3_late_bias_cal.fits,2461181.6923153936,4.685499966144562,145.57039801157524,2111.495477281684,232005.79425048828,1593.7704191207886,11,29,True,ok,V0399 named,28.988666608929634,0.9990423162418502
light_V0399_V_8s_2026_05_20-0019_flat_0p3_late_bias_cal.fits,2461181.6925069443,4.961332976818085,141.61814277570835,1976.4188555400624,223778.26028060913,1580.152485370636,11,27,True,ok,V0399 named,29.264499619603157,0.9719181874412581
light_V0399_V_8s_2026_05_20-0020_flat_0p3_late_bias_cal.fits,2461181.692698148,5.236666426062584,144.72457320875952,2129.6887618839455,234296.61059570312,1618.913812637329,11,28,True,ok,V0399 named,29.539833068847656,0.9932374631832455
light_V0399_V_8s_2026_05_20-0021_flat_0p3_late_bias_cal.fits,2461181.6928898147,5.512666404247284,149.4580545600737,2201.2894160194833,228764.4548339844,1530.6264724731443,11,27,True,ok,V0399 named,29.815833047032356,1.0257231075017317
light_V0399_V_8s_2026_05_20-0022_flat_0p3_late_bias_cal.fits,2461181.6930810185,5.787999853491783,141.24468888292873,2039.649005093709,220096.73046875,1558.2655334472656,11,27,True,ok,V0399 named,30.091166496276855,0.969355192167848
light_V0399_V_8s_2026_05_20-0023_flat_0p3_late_bias_cal.fits,2461181.693271991,6.063000038266182,145.99592170568866,2090.2847292375777,213253.86248779297,1460.683695793152,11,26,True,ok,V0399 named,30.366166681051254,1.001962663941587
light_V0399_V_8s_2026_05_20-0024_flat_0p3_late_bias_cal.fits,2461181.6934636575,6.339000016450882,142.7727859909348,2068.4189076792163,200717.47729492188,1405.8524942398071,11,25,True,ok,V0399 named,30.642166659235954,0.9798424457240517
light_V0399_V_8s_2026_05_20-0025_flat_0p3_late_bias_cal.fits,2461181.6936555556,6.615333259105682,146.327917780122,2031.955441703503,232114.9378585815,1586.2655696868896,11,26,True,ok,V0399 named,30.918499901890755,1.0042411362939034
light_V0399_V_8s_2026_05_20-0026_flat_0p3_late_bias_cal.fits,2461181.6938471063,6.891166269779205,146.9775734346827,2097.0745836941687,215924.53985214233,1469.0985488891602,11,25,True,ok,V0399 named,31.194332912564278,1.0086996903595478
light_V0399_V_8s_2026_05_20-0027_flat_0p3_late_bias_cal.fits,2461181.6940381946,7.166333422064781,147.7710368177867,2197.8440388489344,224973.28406524655,1522.445053577423,11,29,True,ok,V0399 named,31.469500064849854,1.0141451896295728
light_V0399_V_8s_2026_05_20-0028_flat_0p3_late_bias_cal.fits,2461181.6942291665,7.441332936286926,142.7468002929668,2039.2491830107556,222195.4062194824,1556.5701351165771,11,24,True,ok,V0399 named,31.744499579072,0.979664107186535
light_V0399_V_8s_2026_05_20-0029_flat_0p3_late_bias_cal.fits,2461181.694420139,7.716333121061325,146.52553452968016,2148.1087839842294,227051.23852348328,1549.567720413208,11,27,True,ok,V0399 named,32.0194997638464,1.0055973701017624
light_V0399_V_8s_2026_05_20-0030_flat_0p3_late_bias_cal.fits,2461181.6946113426,7.991666570305824,142.55986870370276,2052.2104186940383,241749.15566825867,1695.772855758667,11,27,True,ok,V0399 named,32.2948332130909,0.978381205096082
light_V0399_V_8s_2026_05_20-0031_flat_0p3_late_bias_cal.fits,2461181.6948032407,8.267999812960625,144.60909782583295,2079.6367122749075,238632.84550857544,1650.1924781799316,11,29,True,ok,V0399 named,32.5711664557457,0.9924449614411075
light_V0399_V_8s_2026_05_20-0032_flat_0p3_late_bias_cal.fits,2461181.6949944445,8.543333262205124,145.70994205648367,2140.41623845213,233578.3048057556,1603.0361518859863,11,30,True,ok,V0399 named,32.846499904990196,1.0
light_V0399_V_8s_2026_05_20-0033_flat_0p3_late_bias_cal.fits,2461181.695186111,8.819333240389824,142.65819756833903,2032.5195816693997,205907.8310699463,1443.3648719787598,11,27,True,ok,V0399 named,33.122499883174896,0.9790560311460309
light_V0399_V_8s_2026_05_20-0034_flat_0p3_late_bias_cal.fits,2461181.695378125,9.0958334505558,143.17084207196845,2053.415304093287,241943.8330478668,1689.8959980010986,11,30,True,ok,V0399 named,33.399000093340874,0.9825742845774316
light_V0399_V_8s_2026_05_20-0035_flat_0p3_late_bias_cal.fits,2461181.695569792,9.3718334287405,145.67821803595237,2151.484563611013,239898.8376083374,1646.7721862792969,11,29,True,ok,V0399 named,33.675000071525574,0.999782279643492
light_V0399_V_8s_2026_05_20-0036_flat_0p3_late_bias_cal.fits,2461181.695762153,9.648833200335504,145.8839813990009,2192.2175967613557,250873.67641448975,1719.679391860962,11,28,True,ok,V0399 named,33.951999843120575,1.001194423249786
