sequence,file,jd,diff_flux,target_flux_rate,comparison_ensemble_flux_rate,n_comps,good,reject_reason,check_diff_flux,minutes_combined,diff_flux_norm,check_diff_flux_norm
V_8 generic,light_V_8s_2026_05_20-0072_flat_0p3_late_bias_cal.fits,2461181.6857905095,120.66253676974657,221500.51607322693,1835.7024641036987,4,True,ok,171.7017388259635,19.592833444476128,1.0130066782525964,0.9886655835365812
V_8 generic,light_V_8s_2026_05_20-0073_flat_0p3_late_bias_cal.fits,2461181.68598206,120.96757053423215,194727.6637039185,1609.750967502594,4,True,ok,174.21981232239258,19.86866645514965,1.0155675496613095,1.0031647529669994
V_8 generic,light_V_8s_2026_05_20-0074_flat_0p3_late_bias_cal.fits,2461181.686173727,120.90867082142249,233022.48516845703,1927.2603328227997,4,True,ok,,20.14466643333435,1.0150730647613508,
V_8 generic,light_V_8s_2026_05_20-0075_flat_0p3_late_bias_cal.fits,2461181.686365625,124.26135738846145,226286.4430541992,1821.052399635315,4,True,ok,173.0773412910195,20.42099967598915,1.0432201100118512,0.9965863583821257
V_8 generic,light_V_8s_2026_05_20-0076_flat_0p3_late_bias_cal.fits,2461181.686557176,118.07780442377472,180922.75484848025,1532.2333924770355,4,True,ok,176.53599563150624,20.696833357214928,0.9913068930660689,1.0165014305017772
V_8 generic,light_V_8s_2026_05_20-0077_flat_0p3_late_bias_cal.fits,2461181.6867488427,118.95592429270945,228740.64950561523,1922.9025444984436,4,True,ok,171.57976930851163,20.972833335399628,0.9986790345388994,0.9879632781029276
V_8 generic,light_V_8s_2026_05_20-0078_flat_0p3_late_bias_cal.fits,2461181.6869399305,120.07936951801514,246467.4213256836,2052.537603378296,4,True,ok,,21.24799981713295,1.0081107732239343,
V_8 generic,light_V_8s_2026_05_20-0079_flat_0p3_late_bias_cal.fits,2461181.6871314817,120.79350238592886,216928.78143310547,1795.8646545410156,4,True,ok,172.38466263630946,21.523833498358727,1.0141061830978102,0.9925978865643977
V_8 generic,light_V_8s_2026_05_20-0080_flat_0p3_late_bias_cal.fits,2461181.687323264,121.10727424656739,233840.31356048584,1930.852750301361,4,True,ok,171.8122028850909,21.79999977350235,1.0167404140594973,0.9893016400740615
V_8 generic,light_V_8s_2026_05_20-0081_flat_0p3_late_bias_cal.fits,2461181.6875149305,120.5932734100499,214302.12406158447,1777.0653204917908,4,True,ok,174.89859392145596,22.07599975168705,1.0124251866993,1.00707320497407
