set,sequence,file,jd,diff_flux,check_diff_flux,n_comps,good,minutes_combined,diff_flux_norm,check_diff_flux_norm
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0045_flat_0p3_late_bias_cal.fits,2461181.680614699,199.03787997788197,291.545097860494,3,True,12.139666602015495,0.991944835421929,0.998335158367036
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0046_flat_0p3_late_bias_cal.fits,2461181.6808056715,203.6935124668252,288.59984875786273,3,True,12.414666786789894,1.0151471052790184,0.9882497693452911
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0047_flat_0p3_late_bias_cal.fits,2461181.6809974536,209.7715802277844,299.62139598787536,3,True,12.690833061933517,1.045438364035884,1.0259907506894175
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0048_flat_0p3_late_bias_cal.fits,2461181.6811891203,132.82070305598737,190.52676256628862,2,True,12.966833040118217,0.661938372977732,0.6524190153620445
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0049_flat_0p3_late_bias_cal.fits,2461181.68138044,201.0425223133528,295.49323839224354,3,True,13.242333456873894,1.0019353689412742,1.0118547391521175
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0050_flat_0p3_late_bias_cal.fits,2461181.6815721067,204.24963542494154,292.9477661262219,3,True,13.518333435058594,1.0179186545751844,1.0031383022218914
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0051_flat_0p3_late_bias_cal.fits,2461181.6817636574,199.6533936170155,290.18149484004573,3,True,13.794166445732117,0.9950123699813711,0.9936657852670966
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0052_flat_0p3_late_bias_cal.fits,2461181.681955324,195.054874784671,295.3308957896161,3,True,14.070166423916817,0.9720947373837897,1.0112988308926643
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0053_flat_0p3_late_bias_cal.fits,2461181.682147222,202.26038066481112,290.2788753615842,3,True,14.346499666571617,1.0080048080959658,0.9939992444784
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0054_flat_0p3_late_bias_cal.fits,2461181.6823388888,195.74775522685297,285.60049896406156,3,True,14.622499644756317,0.9755478447835654,0.977979123831555
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0055_flat_0p3_late_bias_cal.fits,2461181.682530903,198.17587210123958,292.36187631279364,3,True,14.898999854922295,0.9876488478369353,1.001132045200364
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0056_flat_0p3_late_bias_cal.fits,2461181.6827226854,203.03736174295858,,3,True,15.175166800618172,1.011877047730826,
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0057_flat_0p3_late_bias_cal.fits,2461181.682914352,199.76018760006585,298.39191689811156,3,True,15.451166778802872,0.9955445990221583,1.021780656913889
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0058_flat_0p3_late_bias_cal.fits,2461181.68310625,193.0652888887251,284.3590547362892,3,True,15.727500021457672,0.9621792406234185,0.9737280579455835
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0059_flat_0p3_late_bias_cal.fits,2461181.683298148,199.80323743264705,288.1726268428645,3,True,16.003833264112473,0.9957591464193646,0.9867868373279202
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0060_flat_0p3_late_bias_cal.fits,2461181.683489236,200.65418244072026,279.686808318642,3,True,16.278999745845795,1.0,0.9577289281316308
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0061_flat_0p3_late_bias_cal.fits,2461181.683680787,196.91774488414097,293.20326362519313,3,True,16.55483342707157,0.9813787207865295,1.004013199923721
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0062_flat_0p3_late_bias_cal.fits,2461181.683872454,197.9163457812334,292.8947733987081,3,True,16.83083340525627,0.9863554468380159,1.00295683971951
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0063_flat_0p3_late_bias_cal.fits,2461181.6840641205,197.76739015779924,285.660390797942,3,True,17.10683338344097,0.9856130968823744,0.9781842108794961
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0064_flat_0p3_late_bias_cal.fits,2461181.684255671,204.14122916093726,300.0066910632976,3,True,17.382666394114494,1.017378390411808,1.027310113021223
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0065_flat_0p3_late_bias_cal.fits,2461181.684446991,200.96705810005017,297.8489047401008,3,True,17.65816681087017,1.0015592780350957,1.0199212254477414
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0066_flat_0p3_late_bias_cal.fits,2461181.684639352,203.08557061767468,294.3324072393655,3,True,17.935166582465172,1.0121173062399171,1.0078797158663535
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0067_flat_0p3_late_bias_cal.fits,2461181.6848310186,200.1218723447138,290.71683317051264,3,True,18.211166560649872,0.9973471268351771,0.9954989393171858
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0068_flat_0p3_late_bias_cal.fits,2461181.6850228007,196.67921123164163,288.2436414751576,3,True,18.487332835793495,0.9801899409186102,0.9870300120706855
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0069_flat_0p3_late_bias_cal.fits,2461181.685213773,194.77057422301078,273.6566379298813,3,True,18.762333020567894,0.9706778690274862,0.9370798719333876
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0070_flat_0p3_late_bias_cal.fits,2461181.685405671,202.90284221620496,294.30692087648777,3,True,19.038666263222694,1.0112066429322948,1.0077924431517495
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0071_flat_0p3_late_bias_cal.fits,2461181.6855980325,200.81859700565715,294.92018959114057,3,True,19.31566670536995,1.0008193926632227,1.0098924534892837
prior_overlap_src2_src7_src8,V_8 generic,light_V_8s_2026_05_20-0072_flat_0p3_late_bias_cal.fits,2461181.6857905095,201.97853666053345,287.41369839020706,3,True,19.592833444476128,1.0066001824816408,0.9841880457086025
