precession_period_hr,superhump_period_min,superhump_period_s,orbital_period_s,N,k,dof,chi2,reduced_chi2,aic_chi2,bic_chi2,sse,bic_sse,rms_pct,fundamental_amp_pct,harmonic_amp_pct,fundamental_phase_cycles,harmonic_phase_cycles,delta_chi2
18.900300100033345,17.408744361062567,1044.524661663754,1028.7322,138,5,133,340.3674683619804,2.5591538974584993,350.3674683619804,365.0037367877664,0.028728133790026932,-1145.2079544875357,1.4428266789064688,0.7345226560496656,0.8925506501498229,0.7733573380060168,0.7328140927788378,3.9038287218278924
18.9083027675892,17.40863125279463,1044.5178751676779,1028.7322,138,5,133,340.37237186268646,2.5591907658848605,350.37237186268646,365.00864028847246,0.02872860828786565,-1145.2056751831624,1.442838594322188,0.7345035305649432,0.892534054616372,0.7733301972555797,0.7327770524261294,3.9087322225339562
18.91630543514505,17.408518241696992,1044.5110945018196,1028.7322,138,5,133,340.3772740863816,2.559227624709636,350.3772740863816,365.0135425121676,0.028729082610076458,-1145.2033967600628,1.4428505052292573,0.7344844241358468,0.8925174532983455,0.7733030791159412,0.7327400434886584,3.913634446229082
18.9243081027009,17.408405327644488,1044.5043196586694,1028.7322,138,5,133,340.38217503054614,2.559264473913881,350.38217503054614,365.01844345633214,0.028729556756548758,-1145.2011192187254,1.4428624116250117,0.7344653367352292,0.8925008462299244,0.7732759835588574,0.7327030659268279,3.918535390393629
18.932310770256755,17.408292510512165,1044.4975506307298,1028.7322,138,5,133,340.38707469267143,2.559301313478733,350.38707469267143,365.02334311845743,0.028730030727172617,-1145.1988425596346,1.4428743135068023,0.7344462683359352,0.8924842334451871,0.773248910556146,0.7326661197011115,3.9234350525189257
18.940313437812605,17.408179790175296,1044.490787410518,1028.7322,138,5,133,340.39197307026456,2.559338143385448,350.39197307026456,365.02824149605055,0.028730504521839274,-1145.1965667832703,1.4428862108720095,0.7344272189109103,0.8924676149781137,0.7732218600796607,0.7326292047720447,3.9283334301120476
18.948316105368455,17.40806716650936,1044.4840299905616,1028.7322,138,5,133,340.39687016083894,2.5593749636153302,350.39687016083894,365.03313858662494,0.028730978140440254,-1145.1942918901104,1.4428981037180215,0.7344081884331227,0.892450990862574,0.7731948321013067,0.7325923211002308,3.933230520686436
18.95631877292431,17.40795463939004,1044.4772783634025,1028.7322,138,5,133,340.40176596192543,2.5594117741498152,350.40176596192543,365.03803438771143,0.028731451582868432,-1145.192017880626,1.4429099920422597,0.7343891768755908,0.8924343611323363,0.7731678265930383,0.732555468646337,3.938126321772927
18.964321440480163,17.407842208693253,1044.4705325215953,1028.7322,138,5,133,340.40666047106237,2.5594485749703937,350.40666047106237,365.04292889684837,0.028731924849017137,-1145.1897447552867,1.4429218758421574,0.734370184211388,0.8924177258210548,0.7731408435268466,0.7325186473710976,3.943020830909859
18.972324108036013,17.407729874295118,1044.463792457707,1028.7322,138,5,133,340.4115536858007,2.559485366058652,350.4115536858007,365.0478221115867,0.0287323979387805,-1145.187472514558,1.4429337551151686,0.7343512104136325,0.8924010849622975,0.7731138828747881,0.7324818572353147,3.94791404564819
18.980326775591863,17.40761763607196,1044.4570581643177,1028.7322,138,5,133,340.41644560370315,2.5595221473962644,350.41644560370315,365.05271402948915,0.028732870852053494,-1145.185201158901,1.442945629858767,0.7343322554554901,0.8923844385895193,0.7730869446089476,0.7324450981998493,3.952805963550645
18.988329443147716,17.407505493900327,1044.4503296340197,1028.7322,138,5,133,340.4213362223459,2.5595589189650068,350.4213362223459,365.05760464813187,0.028733343588732113,-1145.182930688772,1.4429575000704538,0.7343133193101892,0.8923677867360655,0.7730600287014573,0.7324083702256325,3.957696582193364
18.99633211070357,17.40739344765697,1044.4436068594182,1028.7322,138,5,133,340.4262255393136,2.559595680746719,350.4262255393136,365.0624939650996,0.02873381614871279,-1145.1806611046259,1.4429693657477398,0.7342944019509892,0.8923511294351939,0.7730331351245064,0.7323716732736554,3.96258589916107
19.00433477825942,17.407281497218854,1044.4368898331313,1028.7322,138,5,133,340.4311135522025,2.559632432723327,350.4311135522025,365.0673819779885,0.028734288531892783,-1145.1783924069127,1.442981226888157,0.7342755033511932,0.8923344667200507,0.7730062638503261,0.7323350073049841,3.967473912049968
19.012337445815273,17.407169642463153,1044.4301785477892,1028.7322,138,5,133,340.43600025862344,2.559669174876868,350.43600025862344,365.07226868440944,0.028734760738170363,-1145.1761245960774,1.4429930834892635,0.7342566234841654,0.8923177986236825,0.7729794148511946,0.7322983722807366,3.9723606184709297
19.020340113371127,17.407057883267253,1044.4234729960351,1028.7322,138,5,133,340.44088565619586,2.5597059071894424,350.44088565619586,365.07715408198186,0.0287352327674444,-1145.1738576725634,1.4430049355486314,0.7342377623233302,0.8923011251790363,0.7729525880994284,0.7322617681621051,3.9772460160433525
