file,jd,exptime,diff_flux,diff_flux_err,target_flux_rate,comparison_ensemble_flux_rate,n_comparisons,registered,good,reject_reason
light_V_8s_2026_05_20-0065_flat_0p3_late_bias_cal.fits,2461181.684446991,8.0,19873.510304757616,57.692444683323444,211296.21283721924,10.632052898406982,6,True,True,ok
light_V_8s_2026_05_20-0066_flat_0p3_late_bias_cal.fits,2461181.684639352,8.0,34317.69887664714,134.14318049860864,184285.02447509766,5.369970321655273,8,True,True,ok
light_V_8s_2026_05_20-0067_flat_0p3_late_bias_cal.fits,2461181.6848310186,8.0,35534.93216689122,88.79998203761372,227276.5429058075,6.395862579345703,7,True,True,ok
light_V_8s_2026_05_20-0068_flat_0p3_late_bias_cal.fits,2461181.6850228007,8.0,30254.744712916232,74.16336865121166,226374.03174209595,7.482265472412109,7,True,True,ok
light_V_8s_2026_05_20-0069_flat_0p3_late_bias_cal.fits,2461181.685213773,8.0,19104.67517111125,47.774044259183256,224703.19215011597,11.761686086654663,6,True,True,ok
light_V_8s_2026_05_20-0070_flat_0p3_late_bias_cal.fits,2461181.685405671,8.0,29088.250761227857,90.16538743626643,205259.9503326416,7.056455612182617,8,True,True,ok
light_V_8s_2026_05_20-0071_flat_0p3_late_bias_cal.fits,2461181.6855980325,8.0,27118.679828318407,60.88220109917829,234139.21131896973,8.633872032165527,7,True,True,ok
light_V_8s_2026_05_20-0072_flat_0p3_late_bias_cal.fits,2461181.6857905095,8.0,32498.110034573125,81.59444880020696,221500.51607322693,6.815796852111816,9,True,True,ok
light_V_8s_2026_05_20-0073_flat_0p3_late_bias_cal.fits,2461181.68598206,8.0,22552.540467261075,74.75572480989221,194727.66370391846,8.634400367736816,7,True,True,ok
light_V_8s_2026_05_20-0074_flat_0p3_late_bias_cal.fits,2461181.686173727,8.0,14.390570220855563,0.03328509490839768,233022.48516845703,16192.720760345459,5,True,True,ok
