file,jd,minutes,object_id,role,x,y,pred_x,pred_y,match_dist,flux,flux_err,flux_rate,flux_rate_err,flag,n_sources
light_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.672376852,0.2771667391061783,target_V0399_direct,target,1846.2800691734446,713.5418331515764,1846.2800691734446,713.5418331515764,0.0,1359514.9892578125,6413.731445387102,169939.37365722656,801.7164306733878,ok,17
light_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.672376852,0.2771667391061783,DN_UMa_direct,check,1765.0654063988338,757.7875916385624,1765.0654063988338,757.7875916385624,0.0,1954202.9777832031,10844.534663275186,244275.3722229004,1355.5668329093983,ok,17
light_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.672376852,0.2771667391061783,gaia_774287774887292672_src5,comparison,1891.7873199107535,1171.5418580036976,1891.6910419392098,1171.5714733327566,0.10072991372895744,8359.482452392578,113.5674015605393,1044.9353065490723,14.195925195067412,ok,17
light_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.672376852,0.2771667391061783,gaia_774288805679445888_src7,comparison,1768.2204290966938,1428.471934617422,1768.099270458891,1428.2341911670526,0.2668358366258112,6748.018524169922,102.78793555950853,843.5023155212402,12.848491944938566,ok,17
light_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.672376852,0.2771667391061783,gaia_774289041901756032_src4,comparison,1852.2980212092116,1531.106781798984,1852.1954220444063,1530.7837732662815,0.33891164160788745,8418.009536743164,113.65292880366732,1052.2511920928955,14.206616100458415,ok,17
light_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.672376852,0.2771667391061783,gaia_774271076054448768_src2,comparison,1468.5291008489226,349.61055394345243,1468.8385084517922,349.92026993026366,0.4377865429635852,14020.705505371094,144.08072200223236,1752.5881881713867,18.010090250279045,ok,17
light_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.672376852,0.2771667391061783,gaia_774272862760870784_src1,comparison,577.535568916764,168.04574442821615,578.605986251958,168.40052131654545,1.1276789933206093,20640.48504638672,187.25496297136877,2580.06063079834,23.406870371421096,ok,17
light_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.672376852,0.2771667391061783,gaia_774384016513181696_src3,comparison,239.6257579184653,1128.824256812938,240.3666682029625,1128.8220647384942,0.7409135272513893,9304.327980041504,126.37673848032026,1163.040997505188,15.797092310040032,ok,17
light_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.672376852,0.2771667391061783,gaia_774289488578357504_src6,comparison,805.2184643327064,1048.037178580992,805.7425470905137,1047.8728211588184,0.5492504886246753,7150.273300170898,105.8147237524612,893.7841625213623,13.22684046905765,ok,17
light_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.672376852,0.2771667391061783,gaia_774290626745586944_src8,comparison,890.4015895298415,1395.3771929241827,890.5997333939359,1394.7517194866991,0.6561082318305532,2372.1805114746094,72.03460027205865,296.5225639343262,9.004325034007332,ok,17
light_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.6725682872,0.5528334528207779,target_V0399_direct,target,1846.9915506363493,713.3496788357897,1846.9915506363493,713.3496788357897,0.0,1586021.6779785156,4948.532559454115,198252.70974731445,618.5665699317643,ok,20
light_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.6725682872,0.5528334528207779,DN_UMa_direct,check,1765.7921443821006,757.6010661151182,1765.7921443821006,757.6010661151182,0.0,2391956.7163085938,8658.73687535451,298994.5895385742,1082.3421094193138,ok,20
light_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.6725682872,0.5528334528207779,gaia_774287774887292672_src5,comparison,1892.4706944647485,1171.4513631668447,1892.457894075258,1171.3202948226594,0.13169191629922458,10354.514961242676,119.20964337305698,1294.3143701553345,14.901205421632122,ok,20
light_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.6725682872,0.5528334528207779,gaia_774288805679445888_src7,comparison,1768.978659920413,1428.3266071151859,1768.9144003031515,1427.9696650210853,0.36268024064108145,8018.717529296875,107.45227709524056,1002.3396911621094,13.43153463690507,ok,20
light_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.6725682872,0.5528334528207779,gaia_774289041901756032_src4,comparison,1852.9481443172892,1530.979000687191,1853.014392279568,1530.4962464885393,0.4872785741462022,10170.532775878906,118.12113156901002,1271.3165969848633,14.765141446126252,ok,20
light_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.6725682872,0.5528334528207779,gaia_774271076054448768_src2,comparison,1469.1560589277467,349.5005421494048,1469.5455454663436,349.8201617020461,0.503841663798078,16986.542404174805,148.60810145736255,2123.3178005218506,18.57601268217032,ok,20
light_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.6725682872,0.5528334528207779,gaia_774272862760870784_src1,comparison,578.4032211365001,168.06832628591562,579.3920341644998,168.4392573618851,1.0560970918726738,25247.01439666748,184.29499624443284,3155.876799583435,23.036874530554105,ok,20
light_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.6725682872,0.5528334528207779,gaia_774384016513181696_src3,comparison,240.21440663557735,1128.8667365107253,241.3189899774154,1128.7944100776606,1.1069487214799145,11089.322174072266,131.1966695968094,1386.1652717590332,16.399583699601173,ok,20
light_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.6725682872,0.5528334528207779,gaia_774289488578357504_src6,comparison,805.8015326740297,1047.8496101478474,806.6187161790225,1047.779700327179,0.8201684362728704,8941.074951171875,112.295250810028,1117.6343688964844,14.0369063512535,ok,20
light_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.6725682872,0.5528334528207779,gaia_774290626745586944_src8,comparison,890.6997360018225,1394.9656856860456,891.5119952000512,1394.6072180465949,0.8878423585526761,2832.694625854492,76.20559292040684,354.0868282318115,9.525699115050855,ok,20
light_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,2461181.6727600694,0.8289997279644012,target_V0399_direct,target,1848.0788941053722,714.3136277952666,1848.0788941053722,714.3136277952666,0.0,1361998.40625,6315.334693577036,170249.80078125,789.4168366971295,ok,17
light_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,2461181.6727600694,0.8289997279644012,DN_UMa_direct,check,1766.8614295891623,758.5490143228166,1766.8614295891623,758.5490143228166,0.0,2018953.2623291016,10430.965903470416,252369.1577911377,1303.870737933802,ok,17
light_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,2461181.6727600694,0.8289997279644012,gaia_774287774887292672_src5,comparison,1893.5426048411987,1172.3896929034706,1893.4368932607874,1172.3360084978553,0.11856202444000055,8659.381935119629,112.35842787490252,1082.4227418899536,14.044803484362815,ok,17
light_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,2461181.6727600694,0.8289997279644012,gaia_774288805679445888_src7,comparison,1769.8418697414686,1429.3354089696081,1769.819468839738,1428.9778209932756,0.3582889353802819,6908.571228027344,104.22985231658559,863.571403503418,13.028731539573199,ok,17
light_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,2461181.6727600694,0.8289997279644012,gaia_774289041901756032_src4,comparison,1853.8656290098183,1531.9792593596558,1853.9017602293377,1531.5341297647997,0.4465935750105564,8594.000564575195,114.47637762640743,1074.2500705718994,14.309547203300928,ok,17
light_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,2461181.6727600694,0.8289997279644012,gaia_774271076054448768_src2,comparison,1470.3380146678987,350.4660356472169,1470.6886228161977,350.6592596310542,0.4003268434462051,14423.17571258545,146.6698736539166,1802.8969640731812,18.333734206739575,ok,17
light_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,2461181.6727600694,0.8289997279644012,gaia_774272862760870784_src1,comparison,579.5951415878787,168.86201668023858,580.5006883712501,169.0438483901694,0.9236220805127143,20933.575119018555,184.6648302345302,2616.6968898773193,23.083103779316275,ok,17
light_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,2461181.6727600694,0.8289997279644012,gaia_774384016513181696_src3,comparison,241.44092269989272,1129.7573175095515,242.16201746099978,1129.4012002730344,0.8042369928327161,9574.600051879883,127.46880034566185,1196.8250064849854,15.933600043207731,ok,17
