file,raw_file,jd,exptime,object_id,role,v_mag,x,y,registered,dx,dy,shift_scatter,n_anchor_centroids,flux,flux_err,flux_rate,flux_rate_err,raw_peak,saturated,frame_artifact,flag
light_AMCVn_V_35s_2026_05_20-0023_flat_4s_masked_clipmean_cal.fits,light_AMCVn_V_35s_2026_05_20-0023.fit,2461181.794453125,35.0,112,comparison,11.235,1284.8949984473234,1338.199632035621,True,11.339217504155528,16.910955080258418,1.6649182565197702,6,256251.74865722656,518.4790627565894,7321.478533063616,14.813687507331126,7278.0,False,False,ok
light_AMCVn_V_35s_2026_05_20-0023_flat_4s_masked_clipmean_cal.fits,light_AMCVn_V_35s_2026_05_20-0023.fit,2461181.794453125,35.0,125,comparison,12.454,401.03569329235637,1192.150103842453,True,11.339217504155528,16.910955080258418,1.6649182565197702,6,82501.7095413208,300.2213803140899,2357.1917011805945,8.577753723259711,2781.0,False,False,ok
light_AMCVn_V_35s_2026_05_20-0023_flat_4s_masked_clipmean_cal.fits,light_AMCVn_V_35s_2026_05_20-0023.fit,2461181.794453125,35.0,143,comparison,14.29,838.3394565022327,1401.6740694423227,True,11.339217504155528,16.910955080258418,1.6649182565197702,6,14759.834869384766,150.77014194832043,421.7095676967076,4.307718341380584,1080.0,False,False,ok
light_AMCVn_V_35s_2026_05_20-0023_flat_4s_masked_clipmean_cal.fits,light_AMCVn_V_35s_2026_05_20-0023.fit,2461181.794453125,35.0,144,comparison,14.357,295.7483995597504,1379.8331365852362,True,11.339217504155528,16.910955080258418,1.6649182565197702,6,14030.73861694336,144.86611466543488,400.8782461983817,4.139031847583854,1045.0,False,False,ok
light_AMCVn_V_35s_2026_05_20-0024_flat_4s_masked_clipmean_cal.fits,light_AMCVn_V_35s_2026_05_20-0024.fit,2461181.794956597,35.0,target,target,,514.0737933053204,1301.542060025713,True,11.180313855318104,17.618449261907926,1.540265146145261,6,16892.84098815918,154.6946230174088,482.65259966169083,4.419846371925965,1214.0,False,False,ok
light_AMCVn_V_35s_2026_05_20-0024_flat_4s_masked_clipmean_cal.fits,light_AMCVn_V_35s_2026_05_20-0024.fit,2461181.794956597,35.0,90,comparison,8.97,742.7504965506428,217.20488989474129,True,11.180313855318104,17.618449261907926,1.540265146145261,6,1997546.6871032715,1458.7979322399678,57072.7624886649,41.67994092114194,55659.0,False,False,ok
light_AMCVn_V_35s_2026_05_20-0024_flat_4s_masked_clipmean_cal.fits,light_AMCVn_V_35s_2026_05_20-0024.fit,2461181.794956597,35.0,96,comparison,9.551,1819.6171657102539,1087.6680330321894,True,11.180313855318104,17.618449261907926,1.540265146145261,6,1181820.6761322021,1112.223585256534,33766.30503234863,31.77781672161526,34586.0,False,False,ok
light_AMCVn_V_35s_2026_05_20-0024_flat_4s_masked_clipmean_cal.fits,light_AMCVn_V_35s_2026_05_20-0024.fit,2461181.794956597,35.0,112,comparison,11.235,1284.7418443396896,1338.9491291175927,True,11.180313855318104,17.618449261907926,1.540265146145261,6,268321.911857605,528.69977157104,7666.340338788714,15.105707759172569,8442.0,False,False,ok
light_AMCVn_V_35s_2026_05_20-0024_flat_4s_masked_clipmean_cal.fits,light_AMCVn_V_35s_2026_05_20-0024.fit,2461181.794956597,35.0,125,comparison,12.454,401.05751766076315,1192.8718261657746,True,11.180313855318104,17.618449261907926,1.540265146145261,6,86299.12240600586,305.15281897646935,2465.6892116001673,8.718651970756268,3063.0,False,False,ok
light_AMCVn_V_35s_2026_05_20-0024_flat_4s_masked_clipmean_cal.fits,light_AMCVn_V_35s_2026_05_20-0024.fit,2461181.794956597,35.0,143,comparison,14.29,838.1159257093643,1402.3673354823002,True,11.180313855318104,17.618449261907926,1.540265146145261,6,15355.457275390625,146.86616519380394,438.72735072544646,4.1961761483943985,1147.0,False,False,ok
