file,jd,exptime,diff_flux,diff_flux_err,target_flux_rate,comparison_ensemble_flux_rate,n_comparisons,registered,good,reject_reason
light_V0399_V_8s_2026_05_20-0026_flat_0p3_early_bias_cal.fits,2461181.6938471063,8.0,155.59748339584542,0.5369745423802169,204377.21082305908,1313.4994626045227,8,True,True,ok
light_V0399_V_8s_2026_05_20-0027_flat_0p3_early_bias_cal.fits,2461181.6940381946,8.0,153.02889591411832,0.5413932582324863,211699.22192764282,1383.39377450943,8,True,True,ok
light_V0399_V_8s_2026_05_20-0028_flat_0p3_early_bias_cal.fits,2461181.6942291665,8.0,148.51577746344336,0.5720418194458519,202504.48917388916,1363.521725654602,8,True,True,ok
light_V0399_V_8s_2026_05_20-0029_flat_0p3_early_bias_cal.fits,2461181.694420139,8.0,148.72405728062873,0.7146077952429576,194719.94356536865,1309.269980430603,8,True,True,ok
light_V0399_V_8s_2026_05_20-0030_flat_0p3_early_bias_cal.fits,2461181.6946113426,8.0,148.6206447874787,0.5219945010153988,217235.92992401123,1461.680712223053,8,True,True,ok
light_V0399_V_8s_2026_05_20-0031_flat_0p3_early_bias_cal.fits,2461181.6948032407,8.0,148.3650493464851,0.7484752887279071,194303.71449661255,1309.632661819458,8,True,True,ok
light_V0399_V_8s_2026_05_20-0032_flat_0p3_early_bias_cal.fits,2461181.6949944445,8.0,146.88134204213773,0.8352684213423016,184512.16688919067,1256.198808670044,8,True,True,ok
light_V0399_V_8s_2026_05_20-0033_flat_0p3_early_bias_cal.fits,2461181.695186111,8.0,150.40695970008613,1.2371840939858876,162634.59328842163,1081.2969932556152,8,True,True,ok
light_V0399_V_8s_2026_05_20-0034_flat_0p3_early_bias_cal.fits,2461181.695378125,8.0,145.5672834829161,0.8626519468871456,186676.3715057373,1282.4060945510864,8,True,True,ok
light_V0399_V_8s_2026_05_20-0035_flat_0p3_early_bias_cal.fits,2461181.695569792,8.0,143.51828691820572,1.2142585752449726,164493.7224445343,1146.1516575813293,8,True,True,ok
light_V0399_V_8s_2026_05_20-0036_flat_0p3_early_bias_cal.fits,2461181.695762153,8.0,141.55718514637064,1.0305173407814128,175074.90762329102,1236.778673171997,8,True,True,ok
light_V0399_V_8s_2026_05_20-0037_flat_0p3_early_bias_cal.fits,2461181.6959542823,8.0,142.1256344304896,1.7439218841112396,132812.5885925293,934.4731450080872,8,True,True,ok
light_V0399_V_8s_2026_05_20-0038_flat_0p3_early_bias_cal.fits,2461181.69614699,8.0,145.33030011663558,1.1058070597130727,168740.12532615662,1161.0801408290863,8,True,True,ok
