file,jd,exptime,object_id,role,x,y,registered,dx,dy,matches,flux,flux_err,flux_rate,flux_rate_err,saturated,flag
light_V0399_V_8s_2026_05_20-0052_flat_0p3_early_bias_cal.fits,2461181.6988304397,8.0,gaia_774287774887292672_src5,comparison,2041.3279255764298,1084.6683871820637,True,7.519341241914162,3.9348098265376166,8,247.55555725097656,435.70096337049057,30.94444465637207,54.46262042131132,False,ok
light_V0399_V_8s_2026_05_20-0052_flat_0p3_early_bias_cal.fits,2461181.6988304397,8.0,gaia_774289488578357504_src6,comparison,948.1734647616804,1104.4255831141895,True,7.519341241914162,3.9348098265376166,8,294.59407806396484,377.708948575577,36.824259757995605,47.21361857194712,False,ok
light_V0399_V_8s_2026_05_20-0052_flat_0p3_early_bias_cal.fits,2461181.6988304397,8.0,gaia_774288805679445888_src7,comparison,1952.1173107670459,1355.6736729099603,True,7.519341241914162,3.9348098265376166,8,185.36068725585938,341.774168240873,23.170085906982422,42.721771030109124,False,ok
light_V0399_V_8s_2026_05_20-0052_flat_0p3_early_bias_cal.fits,2461181.6988304397,8.0,gaia_774290626745586944_src8,comparison,1078.9804182495877,1437.9333673698234,True,7.519341241914162,3.9348098265376166,8,81.31893920898438,118.652639233147,10.164867401123047,14.831579904143375,False,ok
light_V0399_V_8s_2026_05_20-0052_flat_0p3_early_bias_cal.fits,2461181.6988304397,8.0,DN_UMa,check,1860.339341241914,690.5648098265376,True,7.519341241914162,3.9348098265376166,8,75932.55645751953,99370.18324822566,9491.569557189941,12421.272906028207,False,ok
light_V0399_V_8s_2026_05_20-0053_flat_0p3_early_bias_cal.fits,2461181.6990222223,8.0,target,target,1935.9232254391748,636.1866698973085,True,7.983225439174618,3.666669897308566,8,68544.17640686035,68767.8632503665,8568.022050857544,8595.982906295812,False,ok
light_V0399_V_8s_2026_05_20-0053_flat_0p3_early_bias_cal.fits,2461181.6990222223,8.0,gaia_774272862760870784_src1,comparison,607.5616862306736,261.7525301265519,True,7.983225439174618,3.666669897308566,8,1315.773452758789,1050.0553217058373,164.47168159484863,131.25691521322966,False,ok
light_V0399_V_8s_2026_05_20-0053_flat_0p3_early_bias_cal.fits,2461181.6990222223,8.0,gaia_774271076054448768_src2,comparison,1514.7011112625862,324.98288092878465,True,7.983225439174618,3.666669897308566,8,791.8725318908691,685.4544884047681,98.98406648635864,85.68181105059601,False,ok
light_V0399_V_8s_2026_05_20-0053_flat_0p3_early_bias_cal.fits,2461181.6990222223,8.0,gaia_774384016513181696_src3,comparison,398.59536199920024,1258.1814579331665,True,7.983225439174618,3.666669897308566,8,458.2312126159668,471.295449210661,57.27890157699585,58.911931151332624,False,ok
light_V0399_V_8s_2026_05_20-0053_flat_0p3_early_bias_cal.fits,2461181.6990222223,8.0,gaia_774289041901756032_src4,comparison,2049.3706629467174,1446.0174197888443,True,7.983225439174618,3.666669897308566,8,309.4963722229004,443.33568550433347,38.68704652786255,55.416960688041684,False,ok
light_V0399_V_8s_2026_05_20-0053_flat_0p3_early_bias_cal.fits,2461181.6990222223,8.0,gaia_774287774887292672_src5,comparison,2041.7918097736904,1084.4002472528346,True,7.983225439174618,3.666669897308566,8,341.983341217041,432.5079638457596,42.74791765213013,54.06349548071995,False,ok
light_V0399_V_8s_2026_05_20-0053_flat_0p3_early_bias_cal.fits,2461181.6990222223,8.0,gaia_774289488578357504_src6,comparison,948.6373489589408,1104.1574431849604,True,7.983225439174618,3.666669897308566,8,318.38162994384766,367.9437102541646,39.79770374298096,45.99296378177058,False,ok
light_V0399_V_8s_2026_05_20-0053_flat_0p3_early_bias_cal.fits,2461181.6990222223,8.0,gaia_774288805679445888_src7,comparison,1952.5811949643064,1355.4055329807313,True,7.983225439174618,3.666669897308566,8,205.20164489746094,348.31343407819395,25.650205612182617,43.539179259774244,False,ok
light_V0399_V_8s_2026_05_20-0053_flat_0p3_early_bias_cal.fits,2461181.6990222223,8.0,gaia_774290626745586944_src8,comparison,1079.4443024468483,1437.6652274405944,True,7.983225439174618,3.666669897308566,8,123.55419921875,119.81252322549064,15.44427490234375,14.97656540318633,False,ok
light_V0399_V_8s_2026_05_20-0053_flat_0p3_early_bias_cal.fits,2461181.6990222223,8.0,DN_UMa,check,1860.8032254391746,690.2966698973086,True,7.983225439174618,3.666669897308566,8,104260.7696762085,100819.06863523599,13032.596209526062,12602.383579404499,False,ok
light_V0399_V_8s_2026_05_20-0054_flat_0p3_early_bias_cal.fits,2461181.699213773,8.0,target,target,1934.165977148949,635.8722801832994,True,6.2259771489488,3.352280183299399,8,23251.6429977417,66786.20335543108,2906.4553747177124,8348.275419428885,False,ok
light_V0399_V_8s_2026_05_20-0054_flat_0p3_early_bias_cal.fits,2461181.699213773,8.0,gaia_774272862760870784_src1,comparison,605.8044379404478,261.43814041254274,True,6.2259771489488,3.352280183299399,8,280.23119354248047,1061.146018326259,35.02889919281006,132.64325229078239,False,ok
light_V0399_V_8s_2026_05_20-0054_flat_0p3_early_bias_cal.fits,2461181.699213773,8.0,gaia_774271076054448768_src2,comparison,1512.9438629723604,324.6684912147755,True,6.2259771489488,3.352280183299399,8,88.13289260864258,726.7929020330357,11.016611576080322,90.84911275412946,False,ok
light_V0399_V_8s_2026_05_20-0054_flat_0p3_early_bias_cal.fits,2461181.699213773,8.0,gaia_774384016513181696_src3,comparison,396.8381137089744,1257.8670682191573,True,6.2259771489488,3.352280183299399,8,-94.9054069519043,489.8374824712831,-11.863175868988037,61.22968530891039,False,nonpositive_flux
light_V0399_V_8s_2026_05_20-0054_flat_0p3_early_bias_cal.fits,2461181.699213773,8.0,gaia_774289041901756032_src4,comparison,2047.6134146564918,1445.7030300748352,True,6.2259771489488,3.352280183299399,8,-89.57925033569336,452.17198766120663,-11.19740629196167,56.52149845765083,False,nonpositive_flux
light_V0399_V_8s_2026_05_20-0054_flat_0p3_early_bias_cal.fits,2461181.699213773,8.0,gaia_774287774887292672_src5,comparison,2040.0345614834646,1084.0858575388254,True,6.2259771489488,3.352280183299399,8,36.82816696166992,432.2181146216097,4.60352087020874,54.02726432770121,False,ok
light_V0399_V_8s_2026_05_20-0054_flat_0p3_early_bias_cal.fits,2461181.699213773,8.0,gaia_774289488578357504_src6,comparison,946.880100668715,1103.8430534709512,True,6.2259771489488,3.352280183299399,8,-86.00297927856445,379.1275351370835,-10.750372409820557,47.39094189213544,False,nonpositive_flux
light_V0399_V_8s_2026_05_20-0054_flat_0p3_early_bias_cal.fits,2461181.699213773,8.0,gaia_774288805679445888_src7,comparison,1950.8239466740806,1355.0911432667222,True,6.2259771489488,3.352280183299399,8,-55.84686279296875,343.34655147418306,-6.980857849121094,42.91831893427288,False,nonpositive_flux
light_V0399_V_8s_2026_05_20-0054_flat_0p3_early_bias_cal.fits,2461181.699213773,8.0,gaia_774290626745586944_src8,comparison,1077.6870541566223,1437.3508377265853,True,6.2259771489488,3.352280183299399,8,-10.023006439208984,136.33855445669656,-1.252875804901123,17.04231930708707,False,nonpositive_flux
light_V0399_V_8s_2026_05_20-0054_flat_0p3_early_bias_cal.fits,2461181.699213773,8.0,DN_UMa,check,1859.0459771489486,689.9822801832994,True,6.2259771489488,3.352280183299399,8,32202.66753387451,93903.4764661175,4025.333441734314,11737.934558264687,False,ok
light_V0399_V_8s_2026_05_20-0055_flat_0p3_early_bias_cal.fits,2461181.699405208,8.0,target,target,1934.5021239753182,635.9028952719875,True,6.562123975318286,3.382895271987536,8,23267.315521240234,70370.18488892751,2908.4144401550293,8796.27311111594,False,ok
light_V0399_V_8s_2026_05_20-0055_flat_0p3_early_bias_cal.fits,2461181.699405208,8.0,gaia_774272862760870784_src1,comparison,606.1405847668173,261.4687555012309,True,6.562123975318286,3.382895271987536,8,81.2622299194336,1136.7875203649924,10.1577787399292,142.09844004562405,False,ok
light_V0399_V_8s_2026_05_20-0055_flat_0p3_early_bias_cal.fits,2461181.699405208,8.0,gaia_774271076054448768_src2,comparison,1513.2800097987297,324.6991063034636,True,6.562123975318286,3.382895271987536,8,120.4867057800293,752.4127103090974,15.060838222503662,94.05158878863718,False,ok
