file,jd,minutes,HD_103187_norm_diff_flux,ensemble
light_V0399_V_8s_2026_05_20-0082_flat_0p3_late_bias_cal.fits,2461181.704580671,22.347499653697017,1.004609475638539,balanced_without_HD
light_V0399_V_8s_2026_05_20-0083_flat_0p3_late_bias_cal.fits,2461181.704772338,22.62349963188171,0.960624950619671,balanced_without_HD
light_V0399_V_8s_2026_05_20-0084_flat_0p3_late_bias_cal.fits,2461181.704964236,22.89983287453651,0.9680464468028508,balanced_without_HD
light_V0399_V_8s_2026_05_20-0085_flat_0p3_late_bias_cal.fits,2461181.7051554397,23.175166323781013,0.9910831368167161,balanced_without_HD
light_V0399_V_8s_2026_05_20-0086_flat_0p3_late_bias_cal.fits,2461181.705346875,23.450833037495613,0.9722034749428935,balanced_without_HD
light_V0399_V_8s_2026_05_20-0087_flat_0p3_late_bias_cal.fits,2461181.705539352,23.72799977660179,0.9685094933783766,balanced_without_HD
light_V0399_V_8s_2026_05_20-0088_flat_0p3_late_bias_cal.fits,2461181.7057315973,24.00483325123787,0.9981110348267721,balanced_without_HD
light_V0399_V_8s_2026_05_20-0089_flat_0p3_late_bias_cal.fits,2461181.705923148,24.280666261911392,0.975236734566418,balanced_without_HD
light_V0399_V_8s_2026_05_20-0090_flat_0p3_late_bias_cal.fits,2461181.7061149306,24.55683320760727,0.9832380800868357,balanced_without_HD
light_V0399_V_8s_2026_05_20-0091_flat_0p3_late_bias_cal.fits,2461181.706306713,24.833000153303143,0.9962451234041703,balanced_without_HD
light_V0399_V_8s_2026_05_20-0092_flat_0p3_late_bias_cal.fits,2461181.706498958,25.10983295738697,1.0068931574933084,balanced_without_HD
light_V0399_V_8s_2026_05_20-0093_flat_0p3_late_bias_cal.fits,2461181.7066908563,25.38616620004177,0.9829631492137337,balanced_without_HD
light_V0399_V_8s_2026_05_20-0094_flat_0p3_late_bias_cal.fits,2461181.706882639,25.662333145737648,1.0019481722919208,balanced_without_HD
light_V0399_V_8s_2026_05_20-0095_flat_0p3_late_bias_cal.fits,2461181.7070737267,25.93749962747097,0.9932138070756973,balanced_without_HD
light_V0399_V_8s_2026_05_20-0096_flat_0p3_late_bias_cal.fits,2461181.7072653933,26.21349960565567,0.980311019767612,balanced_without_HD
light_V0399_V_8s_2026_05_20-0097_flat_0p3_late_bias_cal.fits,2461181.707456597,26.48883305490017,0.9650921390919003,balanced_without_HD
light_V0399_V_8s_2026_05_20-0098_flat_0p3_late_bias_cal.fits,2461181.7076488426,26.765666529536247,1.0177942791114074,balanced_without_HD
light_V0399_V_8s_2026_05_20-0099_flat_0p3_late_bias_cal.fits,2461181.707839815,27.04066671431065,0.995590063387734,balanced_without_HD
light_V0399_V_8s_2026_05_20-0100_flat_0p3_late_bias_cal.fits,2461181.7080314816,27.316666692495343,0.9765515244681366,balanced_without_HD
light_V0399_V_8s_2026_05_20-0101_flat_0p3_late_bias_cal.fits,2461181.7082226854,27.592000141739845,0.9954068586131488,balanced_without_HD
light_V0399_V_8s_2026_05_20-0102_flat_0p3_late_bias_cal.fits,2461181.7084144675,27.86816641688347,0.9904153886918965,balanced_without_HD
light_V0399_V_8s_2026_05_20-0103_flat_0p3_late_bias_cal.fits,2461181.7086069444,28.145333155989647,0.9851943287740439,balanced_without_HD
light_V0399_V_8s_2026_05_20-0104_flat_0p3_late_bias_cal.fits,2461181.708799537,28.42266619205475,1.0014629324514381,balanced_without_HD
light_V0399_V_8s_2026_05_20-0105_flat_0p3_late_bias_cal.fits,2461181.7089913194,28.698833137750626,1.008069811469532,balanced_without_HD
light_V0399_V_8s_2026_05_20-0106_flat_0p3_late_bias_cal.fits,2461181.709182986,28.97483311593533,0.9762810599115204,balanced_without_HD
light_V0399_V_8s_2026_05_20-0107_flat_0p3_late_bias_cal.fits,2461181.7093744213,29.250499829649925,0.9955783729483276,balanced_without_HD
light_V0399_V_8s_2026_05_20-0108_flat_0p3_late_bias_cal.fits,2461181.7095659724,29.526333510875705,0.9717477538011697,balanced_without_HD
light_V0399_V_8s_2026_05_20-0109_flat_0p3_late_bias_cal.fits,2461181.7097577546,29.802499786019325,1.000259052094964,balanced_without_HD
light_V0399_V_8s_2026_05_20-0001_flat_0p3_late_bias_cal.fits,2461181.689061574,0.0,1.0298373769700329,all_comps_without_HD
light_V0399_V_8s_2026_05_20-0002_flat_0p3_late_bias_cal.fits,2461181.689252662,0.2751664817333221,1.0100888931807912,all_comps_without_HD
light_V0399_V_8s_2026_05_20-0003_flat_0p3_late_bias_cal.fits,2461181.68944375,0.5503329634666443,1.0198818804595933,all_comps_without_HD
light_V0399_V_8s_2026_05_20-0004_flat_0p3_late_bias_cal.fits,2461181.6896349536,0.8256664127111435,0.9677802557635218,all_comps_without_HD
light_V0399_V_8s_2026_05_20-0005_flat_0p3_late_bias_cal.fits,2461181.6898260415,1.1008328944444656,0.9940285560407451,all_comps_without_HD
light_V0399_V_8s_2026_05_20-0006_flat_0p3_late_bias_cal.fits,2461181.6900171298,1.3760000467300415,1.0024187692690723,all_comps_without_HD
light_V0399_V_8s_2026_05_20-0007_flat_0p3_late_bias_cal.fits,2461181.6902081016,1.6509995609521866,1.0045516233883809,all_comps_without_HD
light_V0399_V_8s_2026_05_20-0008_flat_0p3_late_bias_cal.fits,2461181.690400463,1.9280000030994415,1.0279514711170659,all_comps_without_HD
light_V0399_V_8s_2026_05_20-0009_flat_0p3_late_bias_cal.fits,2461181.690591667,2.2033334523439407,0.9703638950833928,all_comps_without_HD
light_V0399_V_8s_2026_05_20-0010_flat_0p3_late_bias_cal.fits,2461181.690783102,2.4790001660585403,0.9983389798557084,all_comps_without_HD
light_V0399_V_8s_2026_05_20-0011_flat_0p3_late_bias_cal.fits,2461181.690974884,2.7551664412021637,1.0558155866208851,all_comps_without_HD
light_V0399_V_8s_2026_05_20-0012_flat_0p3_late_bias_cal.fits,2461181.691166551,3.0311664193868637,0.9698848399627085,all_comps_without_HD
light_V0399_V_8s_2026_05_20-0013_flat_0p3_late_bias_cal.fits,2461181.691357754,3.306499868631363,0.9696147551489065,all_comps_without_HD
light_V0399_V_8s_2026_05_20-0014_flat_0p3_late_bias_cal.fits,2461181.6915494213,3.582499846816063,0.9804757512118263,all_comps_without_HD
light_V0399_V_8s_2026_05_20-0015_flat_0p3_late_bias_cal.fits,2461181.6917408565,3.8581665605306625,1.0154709594150342,all_comps_without_HD
light_V0399_V_8s_2026_05_20-0016_flat_0p3_late_bias_cal.fits,2461181.691932523,4.1341665387153625,0.9790251505227424,all_comps_without_HD
light_V0399_V_8s_2026_05_20-0017_flat_0p3_late_bias_cal.fits,2461181.692123727,4.409499987959862,1.0177415450232736,all_comps_without_HD
light_V0399_V_8s_2026_05_20-0018_flat_0p3_late_bias_cal.fits,2461181.6923153936,4.685499966144562,1.0067272136383554,all_comps_without_HD
light_V0399_V_8s_2026_05_20-0019_flat_0p3_late_bias_cal.fits,2461181.6925069443,4.961332976818085,0.9848317563049312,all_comps_without_HD
light_V0399_V_8s_2026_05_20-0020_flat_0p3_late_bias_cal.fits,2461181.692698148,5.236666426062584,1.0227380900811551,all_comps_without_HD
light_V0399_V_8s_2026_05_20-0021_flat_0p3_late_bias_cal.fits,2461181.6928898147,5.512666404247284,1.0096978681154953,all_comps_without_HD
light_V0399_V_8s_2026_05_20-0022_flat_0p3_late_bias_cal.fits,2461181.6930810185,5.787999853491783,1.0183805203343959,all_comps_without_HD
light_V0399_V_8s_2026_05_20-0023_flat_0p3_late_bias_cal.fits,2461181.693271991,6.063000038266182,0.9953043249154904,all_comps_without_HD
light_V0399_V_8s_2026_05_20-0024_flat_0p3_late_bias_cal.fits,2461181.6934636575,6.339000016450882,0.9957401626453886,all_comps_without_HD
light_V0399_V_8s_2026_05_20-0025_flat_0p3_late_bias_cal.fits,2461181.6936555556,6.615333259105682,0.9688994071901857,all_comps_without_HD
light_V0399_V_8s_2026_05_20-0026_flat_0p3_late_bias_cal.fits,2461181.6938471063,6.891166269779205,1.0030454400697257,all_comps_without_HD
light_V0399_V_8s_2026_05_20-0027_flat_0p3_late_bias_cal.fits,2461181.6940381946,7.166333422064781,1.0328686515956795,all_comps_without_HD
