flat,sequence,file,jd,minutes,target_rate,dn_rate,ensemble_rate,diff_flux,check_diff_flux,n_comps,n_sources,good,reject_reason,minutes_combined,diff_flux_norm,check_diff_flux_norm
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0051_flat_6s_masked_cal.fits,2461181.6817636574,13.794166445732117,217658.34298706055,316303.3893432617,1383.2950565814972,157.34773427511135,228.65937952885804,8,27,True,ok,13.794166445732117,0.9960835599126844,0.9946718401532423
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0052_flat_6s_masked_cal.fits,2461181.681955324,14.070166423916817,205123.60168266296,310651.56591796875,1321.6031684875488,155.20816427627648,235.0566140617538,8,25,True,ok,14.070166423916817,0.9825390973187992,1.022499909388094
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0053_flat_6s_masked_cal.fits,2461181.682147222,14.346499666571617,216302.3131084442,310545.3516960144,1376.3664565086365,157.15459504667677,225.6269398512952,8,26,True,ok,14.346499666571617,0.9948608997256522,0.9814806806195723
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0054_flat_6s_masked_cal.fits,2461181.6823388888,14.622499644756317,220422.41072273254,321772.5351867676,1402.653094291687,157.14677536432603,229.40279139316095,8,27,True,ok,14.622499644756317,0.994811397538225,0.9979056932695305
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0055_flat_6s_masked_cal.fits,2461181.682530903,14.898999854922295,177414.94439697266,261818.513671875,1129.476143836975,157.07719491468973,231.80526220097397,8,24,True,ok,14.898999854922295,0.9943709212752947,1.008356478469095
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0056_flat_6s_masked_cal.fits,2461181.6827226854,15.175166800618172,245678.31326293945,350169.2249221802,1545.560379743576,158.95743478083978,,8,28,True,ok,15.175166800618172,1.0062737048011756,
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0057_flat_6s_masked_cal.fits,2461181.682914352,15.451166778802872,197069.22663879395,294617.2346191406,1258.1070985794067,156.63946802407753,234.17500382265393,8,25,True,ok,15.451166778802872,0.9915999086421661,1.0186648912023968
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0058_flat_6s_masked_cal.fits,2461181.68310625,15.727500021457672,193744.30695343018,285449.4957771301,1257.6410613059998,154.05373831563358,226.9721501305822,8,24,True,ok,15.727500021457672,0.9752310497906266,0.9873323661557111
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0059_flat_6s_masked_cal.fits,2461181.683298148,16.003833264112473,230539.7448196411,335177.68532943726,1466.566960811615,157.19687609221592,228.54577682831888,8,29,True,ok,16.003833264112473,0.9951285581991057,0.9941776666475479
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0060_flat_6s_masked_cal.fits,2461181.683489236,16.278999745845795,201443.66174316406,280970.52911376953,1247.208927154541,161.51557077349503,225.27944035390522,8,26,True,ok,16.278999745845795,1.0224678827348064,0.9799690524273093
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0061_flat_6s_masked_cal.fits,2461181.683680787,16.55483342707157,210083.3781890869,312822.4444580078,1320.0085017681122,159.1530493233085,236.98517398864587,8,26,True,ok,16.55483342707157,1.0075120348650344,1.0308891749204332
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0062_flat_6s_masked_cal.fits,2461181.683872454,16.83083340525627,218683.50658035278,323653.22412490845,1389.9326570034027,157.33388627030254,232.8553275542731,8,28,True,ok,16.83083340525627,0.9959958956702267,1.0129242790089168
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0063_flat_6s_masked_cal.fits,2461181.6840641205,17.10683338344097,192287.9511566162,277841.0227279663,1211.820164680481,158.67696937302287,229.27578763407053,8,22,True,ok,17.10683338344097,1.0044982297164047,0.9973532249517159
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0064_flat_6s_masked_cal.fits,2461181.684255671,17.382666394114494,217101.5646057129,316690.6831665039,1368.869725227356,158.59914249301877,231.3519521471663,8,25,True,ok,17.382666394114494,1.0040055497547355,1.0063845727186733
flat_6s_masked,V_8 generic,light_V_8s_2026_05_20-0065_flat_6s_masked_cal.fits,2461181.684446991,17.65816681087017,211047.42978286743,313103.6229248047,1336.0273418426514,157.9664002173716,234.35420303073408,8,28,True,ok,17.65816681087017,1.0,1.0194444105312008
